disaster_num;date_event;date_event_fin;disaster_group;disaster_type;disaster_subtype;disaster_subsubtype;event_nom;ID_Continent;ISO_3;nom_continent;pays;location;disaster_magnitude;magnitude_scale;latitude;longitue;time;bassin;total_deaths
1970-0001-MAR;1970-01-22;1970-01-22;Hydrologique;Inondation;;;;2;MAR;Africa;Morocco;Northern regions;;Km2;;;00:00:00;;11
1970-0002-PER;1970-01-01;1970-01-01;Hydrologique;Inondation;;;;5;PER;South America;Peru;(1) Lima, Sierra (2) Loreto department;;Km2;;;00:00:00;;3
1970-0004-PHL;1970-04-07;1970-04-07;Geophysique;Tremblement;Mouvement au sol;;;1;PHL;Asia;Philippines;Luzon;;Richter;15,791;121,63;00:00:00;;14
1970-0010-CHN;1970-01-04;1970-01-04;Geophysique;Tremblement;Mouvement au sol;;;1;CHN;Asia;China;Yunnan province;7;Richter;24,185;102,543;00:00:00;;10000
1970-0013-ARG;1970-01-04;1970-01-04;Hydrologique;Inondation;;;;5;ARG;South America;Argentina;Mendoza;;Km2;;;00:00:00;;36
1970-0014-IRN;1970-01-27;1970-01-27;Hydrologique;Glissement-terrain;Glissement de terrain;;;1;IRN;Asia;Iran;North East of Teheran;;;;;00:00:00;;43
1970-0016-FRA;1970-02-10;1970-02-10;Hydrologique;Glissement-terrain;Avalanche;;;3;FRA;Europe;France;Val d'Isere;;;;;00:00:00;;42
1970-0017-MDG;1970-02-23;1970-02-23;Meteorologique;Tempete;Tempete tropical;;Jane;2;MDG;Africa;Madagascar;Central, South;;Kph;;;00:00:00;;70
1970-0018-CHE;1970-02-24;1970-02-24;Hydrologique;Glissement-terrain;Avalanche;;;3;CHE;Europe;Switzerland;Reckingen;;;;;00:00:00;;30
1970-0019-TUR;1970-03-28;1970-03-28;Geophysique;Tremblement;Mouvement au sol;;;1;TUR;Asia;Turkey;Gediz;7;Richter;39,098;29,57;00:00:00;;1086
1970-0021-COL;1970-04-01;1970-04-01;Hydrologique;Inondation;;;;5;COL;South America;Colombia;Leticia (Amazon);;Km2;;;00:00:00;;
1970-0022-PAN;1970-04-08;1970-04-08;Hydrologique;Inondation;;;;4;PAN;North America;Panama;Chiriqui province;;Km2;;;00:00:00;;48
1970-0023-ECU;1970-04-08;1970-04-08;Hydrologique;Inondation;;;;5;ECU;South America;Ecuador;Guayas, Emeral, Manabi;;Km2;;;00:00:00;;20
1970-0025-CRI;1970-04-09;1970-04-09;Hydrologique;Inondation;;;;4;CRI;North America;Costa Rica;Limao, Cartago provinces;;Km2;;;00:00:00;;23
1970-0026-BGD;1970-04-13;1970-04-13;Meteorologique;Tempete;;;;1;BGD;Asia;Bangladesh;;;Kph;;;00:00:00;;17
1970-0027-FRA;1970-04-16;1970-04-16;Hydrologique;Glissement-terrain;Avalanche;;;3;FRA;Europe;France;Plateau d'Assy, St Gervais (Haute-savoie), sanatorium Praz-coutant;;;;;00:00:00;;72
1970-0028-HUN;1970-05-01;1970-06-30;Hydrologique;Inondation;;;;3;HUN;Europe;Hungary;Tisza;;Km2;;;00:00:00;;300
1970-0029-ROU;1970-05-11;1970-05-11;Hydrologique;Inondation;;;;3;ROU;Europe;Romania;East;;Km2;;;00:00:00;;215
1970-0030-USA;1970-05-11;1970-05-11;Meteorologique;Tempete;Orage convectif;Tornado;;4;USA;North America;United States;Lubbock (Texas);;Kph;;;00:00:00;;26
1970-0032-PER;1970-05-31;1970-05-31;Geophysique;Tremblement;Mouvement au sol;;;5;PER;South America;Peru;Chimbote, Pisco, Chiclayo;8;Richter;-9,183;-78,737;00:00:00;;66794
1970-0034-IND;1970-07-01;1970-07-01;Hydrologique;Inondation;;;;1;IND;Asia;India;North-East, Western, North;;Km2;;;00:00:00;;627
1970-0035-BGD;1970-07-01;1970-07-01;Hydrologique;Inondation;;;;1;BGD;Asia;Bangladesh;;;Km2;;;00:00:00;;
1970-0036-KOR;1970-07-03;1970-07-03;Meteorologique;Tempete;;;;1;KOR;Asia;South Korea;East, South Esat coast;;Kph;;;00:00:00;;39
1970-0037-BRA;1970-07-21;1970-07-21;Hydrologique;Inondation;;;;5;BRA;South America;Brazil;Recife, South Pernambuco;;Km2;;;00:00:00;;172
1970-0038-IRN;1970-07-30;1970-07-30;Geophysique;Tremblement;Mouvement au sol;;;1;IRN;Asia;Iran;Karnaveh, Marev;7;Richter;37,733;55,885;00:00:00;;176
1970-0039-USA;1970-08-03;1970-08-03;Meteorologique;Tempete;Tempete tropical;;Celia;4;USA;North America;United States;Texas;;Kph;;;00:00:00;;11
1970-0040-NPL;1970-08-15;1970-08-15;Hydrologique;Inondation;;;;1;NPL;Asia;Nepal;South;;Km2;;;00:00:00;;350
1970-0041-MTQ;1970-08-21;1970-08-21;Meteorologique;Tempete;Tempete tropical;;Dorothy;4;MTQ;North America;Martinique;;;Kph;;;00:00:00;;45
1970-0042-CAN;1970-08-20;1970-08-20;Meteorologique;Tempete;;;;4;CAN;North America;Canada;Ontario;;Kph;;;00:00:00;;10
