Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
03-01-2016,23:05:27,,,India,Impahl,,"6,7",7,13,
16-01-2016,23:22:04,,,Indonesia,Maluku,"  Buru, Ambalau Island","5,6",3,1,
24-01-2016,10:30:56,,,Alaska,"  Kenai",,"7,1",6,,
25-01-2016,04:23:13,5792,,Morocco,"  Melilla",,"6,3",6,1,
05-02-2016,19:57:06,,,Taiwan,"  Tainan",,"6,4",7,117,
02-03-2016,12:49:11,5598,,Indonesia," Sumatra",,"7,8",5,,
10-04-2016,10:29:12,,,Afghanistan,"  Khyber Pakhtunkhwa",,"6,6",5,6,
13-04-2016,13:55:08,,,India," Assam; Bangladesh",,"6,9",5,2,
15-04-2016,16:25:22,,,Japan,"  Kumamoto, Oita",,7,8,50,
16-04-2016,23:58:00,5599,,Ecuador,"  Near West Coast"," Manabi, Esmeraldas","7,8",8,663,9
28-04-2016,19:33:07,5600,,"Vanuatu Islands",,,7,0,,
11-05-2016,01:15:22,,,China,"  Tibet (Xizang Province)",,"5,2",0,,
17-05-2016,17:05:05,,,China," Yunnan Province"," Shimen","4,8",0,2,
18-05-2016,16:47:26,,,Ecuador,"  Manabi Province",,"6,9",4,1,
28-05-2016,23:54:38,,,Algeria,"  Medea","  Mihoub","5,4",5,,
01-06-2016,22:56:08,,,Indonesia,"  Sumatra","  Pesisir Selatan","6,6",5,1,
07-06-2016,19:15:33,,,Indonesia,"  Maluku","  Ternate Island","6,3",4,,
01-07-2016,14:59:15,,,Tajikistan,"  Rasht",,5,0,,
29-07-2016,21:19:14,,,"Northern Mariana Islands",,,"7,7",4,,
31-07-2016,09:18:17,,,China,"  Guangxi Province",,"4,9",0,,
31-07-2016,23:41:28,,,Indonesia,"  Sumbawa Island","  West Nusa Tenggara","5,6",6,,
12-08-2016,01:26:28,5604,,"New Caledonia","  Loyalty Islands",,"7,2",0,,
15-08-2016,02:58:00,,,Peru,"  Arequipa",,"5,5",6,9,
19-08-2016,07:33:11,5605,,"South Sandwich Islands",,,"7,4",0,,
20-08-2016,09:01:26,5741,,Japan,"  Off East Coast Honshu",,6,2,,
24-08-2016,01:36:02,,,Italy,"  Accumoli, Arquata, Amatrice",,"6,2",9,299,15
24-08-2016,10:34:58,,,"Myanmar (Burma)"," Chauk",,"6,8",5,4,
01-09-2016,16:37:03,5606,,"New Zealand","  Gisborne",,7,5,,
10-09-2016,12:27:41,,,Tanzania,"  Lake Victoria;  Uganda"," Rakai","5,9",0,23,
11-09-2016,13:10:07,,,"Balkans Nw","  Macedonia",,"5,1",6,,
12-09-2016,11:33:17,,,"South Korea","  Gyeongju",,"5,4",6,1,
23-09-2016,16:12:01,,,Rwanda,"  Risuzi; Congo","  Ukavu","4,8",0,8,
28-09-2016,16:49:01,,,Nicaragua,"  Leon",,"5,5",4,1,
01-10-2016,08:04:33,,,Pakistan,"  Mansehra, Naran",,"5,4",2,1,
21-10-2016,05:08:39,,,Japan,"  Kurayoshi",,"6,2",6,,
26-10-2016,19:18:43,,,Italy,"  Visso, Ussita",,"6,1",7,1,
30-10-2016,06:40:05,,,Italy," Norcia",,"6,6",7,2,
07-11-2016,01:44:07,,,Oklahoma,"  Cushing",,5,6,,
13-11-2016,11:02:34,5613,,"New Zealand","  Amberley",,"7,8",8,2,
21-11-2016,20:59:27,5618,,Japan," Near E Coast Honshu",,"6,9",7,,
24-11-2016,18:43:00,5620,,Nicaragua,,,"6,9",5,,
25-11-2016,14:25:11,,,China,"  Xinjiang Province","  Kashgar","6,6",7,1,
27-11-2016,23:35:02,,,Nepal,"   Mount Ama Dablam, Charikharka",,"5,4",4,1,
29-11-2016,20:09:35,,,Poland,"  Rudna",,"4,2",0,8,
01-12-2016,00:25:38,,,"Costa Rica","  Paraiso, Turrialba",,"5,3",6,,
01-12-2016,22:40:00,,,Peru,"  Puno, Lampa",,"6,2",6,1,
06-12-2016,22:03:39,,,Indonesia,"  Sumatra","  Aceh","6,5",8,104,
08-12-2016,05:15:06,,,China,"  N. Xinjiang","  Urumqi",6,3,1,
08-12-2016,17:38:28,5630,,"Solomon Islands",,,"7,8",8,1,
