"Dis No",Year,"Disaster Group","Disaster Type","Disaster Subtype","Disaster Subsubtype","Event Name",Country,ISO_3,Region,Location,"Dis Mag Value","Dis Mag Scale",Latitude,Longitude,"Local Time","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No Injured","No Affected","No Homeless","Total Affected"
1970-0001-MAR,1970,Hydrological,Flood,,,,Morocco,MAR,"Northern Africa","Northern regions",,Km2,NULL,NULL,00:00:00,,1970,1,22,1970,1,22,11,3,266441,NULL,266444
1970-0002-PER,1970,Hydrological,Flood,,,,Peru,PER,"South America","(1) Lima, Sierra (2) Loreto department",,Km2,NULL,NULL,00:00:00,,1970,1,NULL,1970,1,NULL,3,50,131000,5000,136050
1970-0004-PHL,1970,Geophysical,Earthquake,"Ground movement",,,"Philippines (the)",PHL,"South-Eastern Asia",Luzon,,Richter,"15,791","121,630",00:00:00,,1970,4,7,1970,4,7,14,200,NULL,NULL,200
1970-0010-CHN,1970,Geophysical,Earthquake,"Ground movement",,,China,CHN,"Eastern Asia","Yunnan province",7,Richter,"24,185","102,543",00:00:00,,1970,1,4,1970,1,4,10000,NULL,NULL,NULL,NULL
1970-0013-ARG,1970,Hydrological,Flood,,,,Argentina,ARG,"South America",Mendoza,,Km2,NULL,NULL,00:00:00,,1970,1,4,1970,1,4,36,NULL,NULL,NULL,NULL
1970-0014-IRN,1970,Hydrological,Landslide,Landslide,,,"Iran (Islamic Republic of)",IRN,"Southern Asia","North East of Teheran",,,NULL,NULL,00:00:00,,1970,1,27,1970,1,27,43,NULL,100,NULL,100
1970-0016-FRA,1970,Hydrological,Landslide,Avalanche,,,France,FRA,"Western Europe","Val d'Isere",,,NULL,NULL,00:00:00,,1970,2,10,1970,2,10,42,37,NULL,NULL,37
1970-0017-MDG,1970,Meteorological,Storm,"Tropical cyclone",,Jane,Madagascar,MDG,"Eastern Africa","Central, South",,Kph,NULL,NULL,00:00:00,,1970,2,23,1970,2,23,70,NULL,10000,NULL,10000
1970-0018-CHE,1970,Hydrological,Landslide,Avalanche,,,Switzerland,CHE,"Western Europe",Reckingen,,,NULL,NULL,00:00:00,,1970,2,24,1970,2,24,30,NULL,48,NULL,48
1970-0019-TUR,1970,Geophysical,Earthquake,"Ground movement",,,Turkey,TUR,"Western Asia",Gediz,7,Richter,"39,098","29,570",00:00:00,,1970,3,28,1970,3,28,1086,2776,80672,NULL,83448
1970-0021-COL,1970,Hydrological,Flood,,,,Colombia,COL,"South America","Leticia (Amazon)",,Km2,NULL,NULL,00:00:00,,1970,4,NULL,1970,4,NULL,NULL,NULL,4000,NULL,4000
1970-0022-PAN,1970,Hydrological,Flood,,,,Panama,PAN,"Central America","Chiriqui province",,Km2,NULL,NULL,00:00:00,,1970,4,8,1970,4,8,48,500,3500,NULL,4000
1970-0023-ECU,1970,Hydrological,Flood,,,,Ecuador,ECU,"South America","Guayas, Emeral, Manabi",,Km2,NULL,NULL,00:00:00,,1970,4,8,1970,4,8,20,NULL,140500,NULL,140500
1970-0025-CRI,1970,Hydrological,Flood,,,,"Costa Rica",CRI,"Central America","Limao, Cartago provinces",,Km2,NULL,NULL,00:00:00,,1970,4,9,1970,4,9,23,40,10000,NULL,10040
1970-0026-BGD,1970,Meteorological,Storm,,,,Bangladesh,BGD,"Southern Asia",,,Kph,NULL,NULL,00:00:00,,1970,4,13,1970,4,13,17,NULL,110,NULL,110
1970-0027-FRA,1970,Hydrological,Landslide,Avalanche,,,France,FRA,"Western Europe","Plateau d'Assy, St Gervais (Haute-savoie), sanatorium Praz-coutant",,,NULL,NULL,00:00:00,,1970,4,16,1970,4,16,72,NULL,NULL,NULL,NULL
