Variable:,pr
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,1318.84,1049.98,2491.11,2284.38,1722.85,550.92,2300.89,2699.19,2563.47,1618.46,2405.56,622.39,1224.52,787.05,717.75,836.43,1889.30,1630.25,2149.61,1309.87,2019.81,2206.91,1826.44,1385.92,521.21,2390.07,885.85,2589.33,2145.10,2199.28,2023.54,861.66,1567.59,2529.99,1257.78,2448.48,623.48,804.39
1902,1129.07,1049.98,2808.75,2131.90,1781.73,550.92,2536.10,2013.30,1636.48,1220.25,2464.58,622.39,1070.75,784.79,714.81,825.18,1441.67,973.17,1072.63,1041.86,1032.31,1056.03,962.31,1401.38,521.21,2587.06,877.85,2279.78,2288.55,1130.81,2117.61,861.66,1307.47,1285.93,1163.66,2609.70,623.48,798.84
1903,1199.75,1049.98,2759.57,2249.99,1838.29,550.92,2532.01,2260.44,1911.61,1455.43,2531.96,622.39,1167.78,786.06,716.50,826.11,1625.31,1105.82,1363.66,1133.35,1263.54,1395.96,1106.79,1407.76,521.21,2601.00,882.58,2460.13,2318.58,1471.45,2157.81,861.66,1515.90,1669.68,1225.70,2646.75,623.48,802.13
1904,1131.42,1019.42,2597.90,2067.79,1653.00,506.94,2350.29,2186.06,1814.32,1112.71,2335.48,622.39,1027.70,784.11,713.90,820.97,1417.58,1077.36,1407.10,998.76,1314.24,1396.89,1155.98,1392.80,513.71,2389.00,875.65,2405.30,2094.72,1404.72,1929.47,860.24,1221.90,1622.72,1138.37,2505.63,623.48,797.16
1905,1235.81,1053.73,3000.32,2425.96,1895.38,542.89,2722.29,2288.82,1881.34,1324.04,2797.76,749.50,1240.87,968.08,869.73,833.26,1609.14,1067.15,1265.23,1099.33,1202.59,1301.92,1072.43,1421.28,553.47,2871.16,1029.64,2556.32,2505.45,1374.76,2335.95,916.44,1414.84,1578.16,1241.86,2929.41,638.05,919.05
1906,1229.39,1049.87,2864.88,2234.44,1829.86,586.35,2605.38,2280.50,1857.49,1301.36,2542.10,733.56,1219.20,928.22,865.87,823.70,1531.94,1123.82,1475.38,1078.40,1353.35,1381.67,1166.95,1474.44,556.10,2616.72,985.20,2560.82,2297.20,1434.83,2093.71,887.73,1412.02,1653.41,1285.93,2720.46,656.52,912.86
1907,1015.96,767.39,2139.43,1730.44,1390.70,522.60,1978.93,1875.04,1550.91,1013.27,1937.74,687.25,918.63,809.01,707.46,717.32,1231.96,1062.66,1561.67,936.69,1453.54,1396.19,1259.74,1138.65,522.74,1965.24,791.93,2088.75,1738.77,1308.32,1604.68,656.79,1056.99,1486.05,1017.25,2059.27,551.22,701.42
1908,1196.34,1199.23,2636.84,1994.24,1707.60,592.86,2419.47,2142.45,1780.92,1229.00,2294.03,694.94,1148.80,863.08,720.20,716.91,1408.45,1151.25,1561.76,1018.67,1443.60,1472.53,1272.39,1561.31,567.51,2390.94,1051.03,2378.94,2104.52,1440.13,1874.09,1027.04,1340.66,1656.22,1377.11,2472.90,538.02,736.24
1909,1347.09,1270.65,2660.11,2287.45,1818.64,730.66,2487.73,2340.24,2024.82,1512.49,2488.60,788.33,1420.48,1041.37,960.08,1037.85,1692.46,1287.52,1568.18,1278.91,1431.04,1532.09,1287.80,1540.27,648.29,2491.23,1130.66,2485.83,2226.12,1666.14,2099.92,1042.40,1513.12,1791.29,1423.67,2565.96,798.87,1052.44
1910,1110.93,1012.21,2290.22,1852.14,1482.14,544.21,2065.32,2042.67,1821.08,1265.21,2040.27,584.50,1025.77,734.67,669.01,779.72,1458.50,1228.76,1558.82,1121.68,1453.60,1449.09,1264.72,1327.28,490.41,2104.53,833.50,2046.96,1865.18,1491.36,1719.98,826.37,1239.49,1682.36,1117.62,2138.71,568.77,753.95
