Variable:,pr
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.95,14.32,31.54,76.43,118.82,165.37,206.68,220.00,185.47,94.24,9.95,4.31
1902,5.12,13.62,21.18,78.68,105.28,149.09,229.69,236.06,224.12,114.36,16.85,5.69
1903,8.92,5.73,47.92,62.03,136.77,169.21,230.76,192.11,184.57,80.05,9.15,4.19
1904,1.11,8.81,30.64,62.45,117.20,199.51,212.84,228.90,221.85,110.92,28.26,13.32
1905,2.29,11.46,24.66,57.44,167.87,159.06,236.54,215.59,204.91,128.94,12.40,8.24
1906,5.71,13.42,19.52,71.80,113.11,164.53,191.16,154.15,180.94,89.79,10.29,1.55
1907,4.60,3.72,51.35,76.03,93.37,149.08,229.74,230.95,221.50,113.83,18.98,3.19
1908,7.68,26.38,48.07,130.92,112.53,182.57,243.61,263.10,226.20,86.79,11.98,7.24
1909,1.73,6.37,12.45,59.71,119.91,159.65,235.81,218.19,199.91,86.26,9.70,1.24
1910,5.51,4.00,66.97,108.18,187.08,180.16,173.56,200.05,211.72,105.02,11.82,8.36
1911,2.82,11.44,22.70,84.86,79.38,142.78,175.84,205.39,194.37,78.99,18.02,1.93
1912,0.34,14.39,13.58,64.91,110.84,100.71,199.75,230.37,194.46,80.25,10.84,3.33
1913,9.14,13.01,43.79,49.88,106.73,148.80,148.43,169.65,154.82,76.05,32.09,2.95
1914,1.21,6.64,29.51,63.90,130.65,158.24,269.54,197.89,180.89,87.38,16.02,1.82
1915,1.09,8.58,44.41,96.10,130.20,150.34,241.39,214.38,253.16,115.73,26.68,2.48
1916,8.00,20.72,20.34,55.15,133.14,140.94,239.73,318.90,228.82,54.99,33.67,6.05
1917,2.05,15.60,71.24,79.93,120.07,190.98,203.87,227.34,197.82,86.64,24.52,0.89
1918,6.93,22.00,52.27,41.94,179.85,116.29,185.26,154.60,205.40,86.75,20.44,3.19
1919,1.77,1.42,14.67,88.28,137.89,169.73,209.74,235.85,214.14,101.45,33.53,1.39
1920,3.78,4.66,27.07,85.46,150.27,164.99,199.14,262.58,228.40,66.99,16.08,12.42
1921,5.93,14.42,19.85,89.15,105.67,148.78,169.74,198.99,229.79,141.74,23.96,3.33
1922,6.84,5.23,40.55,102.35,131.67,175.38,196.22,179.35,222.09,111.91,11.40,0.70
