Variable:;tas;;;;;;;;;;;
Country:;Niger;;;;;;;;;;;
;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1901;18.78;21.93;25.88;30.22;32.48;32.77;31.18;30.31;30.31;28.46;23.67;19.85
1902;18.84;21.88;25.99;30.43;32.73;32.54;31.19;30.33;30.29;28.23;23.67;20.09
1903;19.08;21.98;26.07;30.31;32.70;32.77;31.18;30.31;30.31;28.46;23.67;20.09
1904;19.08;21.98;26.07;30.31;32.69;32.78;31.18;30.31;30.31;28.46;23.67;20.09
1905;18.56;20.83;25.45;30.22;32.65;32.49;31.22;30.05;30.29;28.43;24.09;20.44
1906;18.68;21.71;26.12;31.15;32.76;32.97;31.03;30.03;30.75;28.66;23.85;20.48
1907;18.99;21.13;25.62;30.05;33.02;32.71;31.41;30.21;30.46;29.17;23.74;19.61
1908;18.94;21.58;25.80;30.50;33.15;33.14;31.47;30.09;30.40;28.34;23.36;19.77
1909;19.01;22.37;26.95;30.27;32.52;32.11;30.70;29.55;30.31;27.94;23.77;20.09
1910;18.51;22.08;25.90;30.16;32.81;33.38;31.50;30.41;30.54;28.34;23.67;20.09
1911;18.87;21.76;25.90;30.26;32.50;32.59;31.19;30.24;30.26;28.36;23.70;19.65
1912;19.10;21.88;25.87;30.64;32.73;32.81;31.54;30.50;30.65;28.39;23.30;20.03
1913;19.19;21.96;25.23;30.13;32.97;33.46;31.95;31.07;31.11;28.39;23.34;19.89
1914;19.99;21.74;25.65;30.15;33.26;33.45;31.74;30.32;30.58;28.69;24.38;20.04
1915;18.76;21.72;26.17;30.12;32.66;32.57;31.20;30.29;30.22;28.29;23.52;19.90
1916;18.73;21.58;25.99;30.07;32.50;32.60;31.21;30.12;30.06;28.19;23.29;20.09
1917;19.08;21.98;25.75;30.09;32.43;32.58;31.18;30.31;30.09;28.22;23.18;19.99
1918;18.90;21.46;25.59;30.12;32.49;32.78;31.18;30.04;30.06;28.34;23.49;20.09
1919;19.08;21.98;26.07;30.31;32.69;32.77;31.18;30.31;30.31;28.47;23.67;20.09
1920;19.08;21.98;26.07;30.31;32.71;32.78;31.18;30.31;30.31;28.46;23.67;20.09
1921;19.05;21.98;26.07;30.31;32.72;32.77;31.18;30.31;30.31;28.46;23.67;20.09
1922;19.08;21.98;26.07;30.31;32.70;32.78;31.18;30.06;30.01;28.27;23.50;19.95
1923;20.34;21.71;26.91;30.50;32.90;33.00;30.67;29.36;30.29;28.83;24.56;21.13
1924;19.72;24.34;27.99;31.03;33.32;32.70;30.26;29.28;29.16;28.59;23.49;19.60
1925;16.14;20.47;26.95;30.47;32.43;31.97;31.01;29.51;30.26;27.63;24.37;20.20
1926;19.65;21.66;25.34;29.35;32.79;32.90;32.50;30.93;31.09;28.90;24.84;21.01
1927;18.89;22.28;26.81;30.00;33.65;32.91;31.28;29.16;30.84;29.54;24.73;21.74
1928;19.83;21.32;27.24;30.11;32.99;32.16;32.00;28.69;30.71;29.04;24.51;19.81
1929;18.19;22.30;26.63;30.06;33.60;32.21;30.00;29.11;30.59;29.10;25.31;18.61
1930;19.14;24.16;26.87;31.82;33.36;33.15;30.90;30.25;31.22;29.35;25.68;23.36
1931;20.79;23.54;27.77;32.52;33.93;32.79;31.73;30.73;30.12;29.72;25.85;22.53
1932;18.87;22.56;27.60;30.97;32.94;33.13;30.97;29.93;30.49;27.60;25.01;20.91
1933;19.90;22.26;25.75;30.75;31.65;31.95;31.30;30.11;30.53;27.39;25.66;21.35
1934;18.35;21.06;26.71;31.31;32.93;32.92;31.45;29.65;31.12;30.35;26.12;20.99
1935;20.12;22.73;27.72;30.39;33.60;32.58;31.64;29.98;30.38;29.13;25.92;21.62
1936;18.93;23.80;28.85;31.23;33.83;32.99;29.79;28.87;29.17;28.46;25.48;20.59
1937;19.01;22.32;27.23;30.78;33.23;33.63;31.38;30.36;30.78;30.20;25.25;21.67
1938;20.06;23.13;26.30;31.87;34.59;34.39;31.85;30.14;30.75;29.53;26.27;22.74
1939;20.46;23.26;27.63;29.81;33.02;33.11;31.76;30.54;30.33;29.35;24.75;22.05
1940;19.09;21.98;26.07;30.31;32.71;32.78;31.18;30.31;30.31;28.46;23.67;20.09
1941;21.82;22.53;27.92;32.10;33.78;32.80;31.58;30.91;31.01;29.11;24.75;21.16
1942;20.53;23.69;26.58;30.74;32.35;33.64;31.50;29.72;31.32;28.94;24.99;21.20
1943;19.66;22.08;25.93;29.42;31.79;32.35;31.22;29.52;29.58;28.96;25.54;21.32
1944;17.80;21.68;25.91;29.42;32.49;33.36;31.63;29.87;30.06;29.00;24.42;21.55
1945;20.49;20.81;24.30;28.98;31.33;32.40;31.61;29.73;29.89;28.13;24.22;19.21
1946;20.26;22.04;26.30;30.03;32.38;32.23;30.59;29.25;29.53;28.18;24.71;19.66
1947;19.04;25.20;25.82;29.35;32.59;32.60;31.59;30.06;30.04;28.44;23.72;20.86
1948;18.68;22.01;23.84;29.71;33.03;31.80;31.13;29.94;30.11;27.72;22.91;19.29
1949;18.97;21.19;26.73;30.21;32.62;32.73;31.26;29.67;29.88;28.91;24.58;20.53
1950;19.42;20.56;24.91;28.42;31.85;32.36;30.37;28.66;29.43;28.10;23.37;20.04
1951;20.11;22.48;27.33;29.26;32.90;32.83;31.46;30.41;29.83;28.86;23.36;18.39
1952;19.92;20.85;25.26;30.07;32.78;32.55;31.05;28.82;28.84;27.97;23.35;19.55
1953;19.64;22.90;26.79;28.23;31.93;31.50;30.06;29.35;29.71;28.27;24.09;18.67
1954;19.22;22.99;26.85;30.54;31.73;31.68;30.07;28.46;29.08;27.81;24.57;20.15
1955;20.23;22.53;26.35;29.61;31.72;31.53;30.75;29.65;29.54;28.37;23.57;19.51
1956;18.80;24.48;27.20;29.38;32.05;32.30;30.25;28.95;29.06;26.58;24.45;19.67
1957;18.30;20.73;24.74;29.43;31.73;31.95;30.35;29.97;29.89;28.75;25.41;21.62
1958;20.73;21.20;26.38;30.91;31.78;32.28;29.84;29.25;29.64;27.76;25.17;21.86
1959;19.43;21.55;26.16;29.91;32.86;32.81;31.33;28.91;29.21;27.35;24.04;19.62
1960;19.08;21.80;25.84;29.97;31.59;32.63;30.27;30.39;29.94;28.57;23.47;22.33
1961;19.67;19.26;24.26;29.40;32.30;32.87;30.30;29.14;29.15;27.24;22.96;17.90
