;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1901;16.69;19.28;21.72;23.74;23.07;22.24;21.70;21.13;21.08;21.09;18.75;16.97
1902;16.92;19.32;22.21;23.80;23.55;22.48;21.74;21.54;21.41;21.06;18.75;17.00
1903;17.01;19.49;22.30;23.84;23.51;22.41;21.77;21.51;21.46;21.09;18.75;17.02
1904;18.08;19.85;21.91;24.02;23.76;22.62;21.83;21.55;21.18;20.99;18.78;17.54
1905;15.71;18.45;21.16;23.85;23.60;22.15;21.77;21.30;21.39;19.92;19.26;16.82
1906;16.24;19.34;21.66;24.93;23.53;22.79;21.62;21.30;21.91;20.97;18.49;17.65
1907;17.67;18.91;22.06;23.62;23.79;22.52;22.20;21.66;21.64;22.24;18.79;17.18
1908;15.73;18.52;21.78;24.12;24.20;22.60;21.97;21.11;21.41;20.23;17.80;15.67
1909;16.60;19.67;23.20;23.72;23.35;21.99;21.41;20.58;21.54;20.50;18.86;16.72
1910;16.75;20.39;21.97;23.35;23.87;23.41;22.06;21.64;21.71;20.79;18.75;17.78
1911;17.54;19.98;22.88;24.04;23.79;22.82;21.85;21.74;21.58;21.50;19.19;17.61
1912;17.48;20.05;22.75;24.50;23.65;22.77;22.00;21.64;21.79;21.20;18.56;17.95
1913;17.42;20.14;21.16;22.73;23.46;22.55;21.78;21.74;21.76;20.76;18.58;17.31
1914;18.05;19.60;21.57;23.54;23.86;22.72;22.12;21.36;21.65;21.15;19.61;17.66
1915;16.86;19.77;21.64;23.57;23.18;22.27;21.69;21.03;21.03;20.67;18.90;17.63
1916;16.95;19.39;21.64;23.61;23.11;22.45;21.44;21.23;21.19;20.47;18.54;16.99
1917;16.68;19.67;22.10;23.02;23.01;21.91;21.51;21.05;21.06;20.10;18.80;17.10
1918;17.05;19.49;22.49;23.72;23.09;22.18;21.72;21.45;21.26;21.26;19.00;17.84
1919;17.65;19.69;22.36;23.72;23.79;22.00;21.46;21.00;21.33;20.92;18.73;17.12
1920;16.84;19.75;21.76;23.24;23.39;22.09;21.56;21.46;20.98;21.06;18.53;16.78
1921;16.90;19.48;22.13;23.80;23.72;22.20;21.50;21.81;21.31;20.74;18.20;16.76
1922;16.67;19.00;21.71;23.34;22.93;21.79;21.55;21.27;21.25;20.98;18.15;16.75
1923;17.86;19.16;22.11;23.63;23.29;22.19;20.89;20.26;21.01;21.48;19.41;17.14
1924;16.98;20.98;23.18;24.05;23.62;22.24;20.75;20.25;20.13;21.16;18.39;16.64
1925;14.87;18.11;22.44;23.69;22.71;21.23;20.90;20.51;20.87;20.66;19.45;17.27
1926;17.63;19.32;21.25;22.52;23.24;22.07;22.02;21.72;21.94;21.62;19.28;18.45
1927;16.65;19.80;21.50;23.10;23.58;22.28;21.56;20.29;21.63;22.07;19.45;18.72
1928;17.81;18.66;22.05;22.56;22.74;21.38;21.50;19.88;21.04;21.10;18.24;16.53
1929;16.31;19.24;22.01;22.73;23.70;21.74;20.66;19.95;20.81;20.96;18.93;15.65
1930;17.11;21.32;21.71;24.06;23.39;22.27;21.76;21.44;21.81;21.72;20.20;19.85
1931;17.93;20.50;23.11;25.16;23.81;22.24;21.90;21.83;21.27;21.82;20.52;19.05
1932;16.80;19.88;23.50;24.58;23.66;22.38;21.48;21.53;21.74;21.77;20.73;18.82
1933;18.31;20.20;22.44;24.30;22.76;21.80;21.58;21.15;21.56;20.39;20.41;18.45
1934;16.92;19.11;22.73;24.71;23.86;22.31;21.97;21.08;21.71;21.98;20.39;18.26
1935;17.91;20.24;23.74;23.94;23.74;21.87;21.69;21.01;21.17;21.34;20.17;18.42
1936;16.64;20.50;24.29;23.96;23.87;21.98;20.86;20.10;20.51;21.18;20.16;17.17
1937;17.26;20.31;23.32;24.24;24.24;23.37;22.04;21.20;21.87;22.72;19.97;18.60
1938;17.91;20.56;22.27;25.03;25.33;23.93;22.65;21.39;21.98;21.94;21.16;19.40
1939;17.09;20.16;23.19;23.34;23.87;22.88;22.36;21.68;21.40;21.97;19.85;18.98
1940;17.03;19.48;22.29;23.87;23.62;22.51;21.77;21.46;21.38;21.09;18.76;17.00
1941;19.07;19.77;23.84;25.40;24.69;22.90;22.07;22.08;22.19;22.05;20.05;18.15
1942;18.10;21.10;22.76;24.42;23.30;23.46;22.14;20.92;22.36;21.76;19.98;17.94
1943;17.29;19.63;22.30;23.43;22.91;22.24;21.71;20.96;20.94;21.42;20.33;18.22
1944;16.04;19.17;22.37;23.39;23.75;23.02;22.32;21.11;21.40;21.63;19.42;18.43
1945;18.20;18.31;21.14;23.19;22.98;22.61;22.15;20.72;21.33;21.00;19.14;16.26
1946;17.91;19.21;22.64;23.99;23.68;22.05;21.24;20.61;20.65;20.76;19.44;16.85
1947;16.37;21.38;21.17;23.32;23.48;22.54;21.98;21.21;21.24;20.75;18.89;17.73
1948;16.80;19.71;21.13;23.70;23.29;21.92;21.69;21.07;21.23;20.17;18.27;16.57
1949;16.83;19.21;22.72;23.89;23.67;22.51;21.89;21.14;21.36;21.34;19.48;16.75
1950;17.48;18.75;21.21;22.47;23.38;22.63;21.44;20.72;20.80;20.79;18.57;16.91
1951;17.07;19.28;22.35;23.18;23.49;22.64;21.77;21.42;21.40;21.41;18.11;15.91
1952;17.37;18.74;21.73;23.89;23.63;22.44;21.57;21.02;20.71;20.61;17.73;16.68
1953;16.96;19.54;22.74;22.50;22.83;21.66;21.05;21.02;21.11;20.46;18.35;16.23
1954;16.65;19.92;22.25;23.56;22.84;21.67;20.83;20.53;21.00;20.48;19.16;16.69
1955;17.08;19.23;21.97;23.30;23.00;21.80;21.10;20.96;20.96;20.75;18.03;16.32
1956;16.19;19.86;22.69;22.96;23.03;21.86;20.79;20.90;20.86;19.87;18.56;16.98
