Variable:,tasmax
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.09,34.40,35.50,35.80,33.85,31.90,29.96,29.04,30.25,32.49,33.13,32.36
1902,32.26,34.44,36.00,35.87,34.34,32.14,30.00,29.43,30.58,32.45,33.13,32.40
1903,32.40,34.61,36.08,35.90,34.30,32.06,30.03,29.42,30.64,32.50,33.13,32.39
1904,31.17,34.01,36.17,35.60,33.98,32.00,29.73,29.12,30.93,32.60,33.09,31.86
1905,32.50,33.44,36.04,35.71,34.39,31.82,30.02,29.21,30.57,33.47,33.79,33.66
1906,32.01,34.59,37.02,37.00,34.49,32.46,29.97,29.22,31.35,33.29,34.06,33.03
1907,31.44,33.45,35.70,35.92,35.11,32.13,30.16,29.30,30.76,32.95,33.25,31.05
1908,33.13,34.70,36.12,36.17,34.99,32.57,30.47,29.05,30.70,33.13,33.37,33.01
1909,32.50,35.29,37.01,36.20,34.14,31.66,29.68,28.49,30.71,31.89,33.26,32.68
1910,31.39,34.02,35.77,36.14,34.33,32.95,30.63,29.46,30.83,32.63,32.25,31.11
1911,31.15,33.74,35.58,35.83,34.00,31.96,30.15,29.17,30.40,32.05,33.17,31.09
1912,32.10,33.98,35.52,36.41,34.69,32.36,30.31,29.43,30.51,32.04,32.19,31.29
1913,32.02,33.85,35.41,36.60,35.09,33.57,31.57,30.88,32.05,32.80,33.20,32.03
1914,33.26,34.01,36.14,36.14,35.40,33.41,30.97,29.90,31.40,33.33,34.47,32.06
1915,32.29,34.23,36.76,36.19,34.69,32.37,30.11,29.80,30.89,32.86,32.94,31.72
1916,32.19,34.56,36.72,36.13,34.72,32.20,30.36,29.55,30.67,33.04,33.22,32.41
1917,32.57,34.40,36.18,36.73,34.79,32.73,30.28,29.79,30.82,33.42,32.93,32.27
1918,32.15,34.43,35.74,36.04,34.73,32.51,30.07,29.30,30.60,32.29,32.83,31.55
1919,31.60,34.38,36.02,36.10,34.09,32.70,30.33,29.83,30.61,32.67,33.15,32.28
1920,32.43,34.32,36.61,36.57,34.67,32.61,30.23,29.37,30.96,32.53,33.34,32.61
1921,32.06,34.59,36.25,36.01,34.43,32.50,30.28,29.03,30.64,32.85,33.68,32.64
1922,32.57,35.08,36.67,36.48,34.99,32.90,30.24,29.49,30.60,32.55,33.68,32.62
1923,34.08,34.26,37.55,36.12,34.89,32.96,29.70,28.65,31.00,32.86,33.85,34.27
1924,33.27,37.14,38.59,36.86,35.46,32.36,29.17,28.54,29.36,32.44,32.84,31.81
1925,28.53,32.87,37.31,36.31,34.48,31.51,30.21,28.49,30.70,31.25,33.66,31.97
1926,32.49,34.23,35.81,35.52,34.09,32.15,30.90,30.42,32.14,33.33,34.68,32.91
1927,31.84,34.87,36.62,36.17,35.52,32.69,30.19,28.67,31.39,32.21,33.76,33.06
1928,32.22,33.21,37.68,36.18,34.71,32.07,30.99,28.11,31.24,32.79,34.42,32.01
1929,31.21,34.58,36.36,36.25,34.91,31.28,29.28,28.43,30.58,32.18,33.68,30.25
