Variable:,tasmax
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,32.57,32.67,30.35,30.74,31.74,35.14,30.37,30.61,30.76,31.97,30.53,33.90,31.28,32.67,33.31,34.61,31.45,32.48,31.10,33.14,31.34,30.75,31.80,31.45,34.75,30.50,32.25,30.22,30.98,30.39,30.94,33.40,31.90,30.70,31.18,30.39,35.13,33.58
1902,32.75,32.92,30.62,31.02,32.04,35.22,30.64,30.89,31.04,32.25,30.81,34.01,31.50,32.81,33.39,34.67,31.74,32.64,31.24,33.31,31.46,30.96,31.92,31.75,34.84,30.78,32.46,30.49,31.27,30.65,31.23,33.63,32.20,30.96,31.47,30.66,35.16,33.64
1903,32.79,32.93,30.74,31.11,32.11,35.22,30.75,30.97,31.09,32.28,30.90,34.01,31.51,32.81,33.39,34.76,31.78,32.66,31.33,33.32,31.54,31.00,31.97,31.80,34.84,30.87,32.46,30.58,31.36,30.68,31.32,33.64,32.23,31.00,31.49,30.76,35.25,33.66
1904,32.52,32.63,30.49,30.91,31.81,35.01,30.46,30.79,30.96,32.04,30.68,33.73,31.21,32.50,33.05,34.40,31.60,32.45,31.21,33.03,31.43,30.89,31.84,31.44,34.62,30.64,32.17,30.37,31.11,30.53,31.10,33.36,31.97,30.88,31.17,30.53,34.88,33.29
1905,32.89,33.72,30.86,31.12,32.53,35.85,31.03,30.97,31.09,32.33,30.95,34.20,31.48,32.80,33.04,33.96,31.81,32.23,31.27,32.87,31.40,30.86,31.64,32.56,35.35,30.96,32.98,30.63,31.54,30.57,31.40,34.36,32.59,30.97,32.11,30.83,34.47,33.03
1906,33.21,33.36,30.82,31.23,32.43,35.56,30.93,31.09,31.27,32.66,31.01,34.47,32.02,33.32,33.93,35.41,32.04,33.20,31.61,33.90,31.89,31.33,32.45,32.23,35.22,30.98,32.95,30.68,31.54,30.97,31.48,34.08,32.61,31.22,31.96,30.84,35.89,34.33
1907,32.60,32.45,30.83,31.13,31.89,34.82,30.71,31.00,31.10,32.08,30.98,33.71,31.24,32.49,33.13,34.86,31.69,32.67,31.31,33.28,31.52,30.94,31.98,31.39,34.47,30.95,32.07,30.67,31.33,30.59,31.28,33.16,32.00,30.98,31.09,30.85,35.33,33.66
1908,33.12,33.54,30.51,30.99,32.33,35.75,30.71,30.84,31.02,32.39,30.73,34.37,31.77,33.09,33.62,35.53,31.79,32.93,31.28,33.67,31.52,30.98,32.09,32.29,35.34,30.69,32.99,30.39,31.32,30.64,31.26,34.27,32.51,30.95,32.00,30.54,35.99,34.17
1909,32.80,32.98,30.96,31.19,32.19,35.22,30.94,31.05,31.09,32.17,31.07,33.88,31.38,32.65,33.26,34.97,31.73,32.62,31.33,33.29,31.52,30.88,31.90,31.90,34.81,31.06,32.39,30.76,31.50,30.56,31.39,33.62,32.20,30.93,31.47,30.96,35.44,33.69
1910,32.63,32.46,30.39,30.89,31.56,34.99,30.26,30.78,30.98,32.05,30.65,33.96,31.36,32.74,33.42,34.97,31.60,32.83,31.39,33.40,31.66,30.99,32.17,31.16,34.68,30.57,32.19,30.31,30.97,30.60,31.03,33.27,31.86,30.92,31.04,30.46,35.46,33.84
1911,32.36,32.45,30.77,31.10,31.66,34.86,30.54,31.00,31.10,31.83,30.95,33.54,30.88,32.23,32.67,34.01,31.57,32.27,31.30,32.71,31.49,30.85,31.79,31.23,34.48,30.89,31.96,30.64,31.20,30.46,31.21,33.17,31.81,30.94,30.94,30.82,34.47,32.93
1912,32.57,32.72,30.82,31.16,31.79,35.20,30.63,31.05,31.13,31.90,30.98,33.80,31.03,32.44,32.93,34.44,31.63,32.47,31.31,32.91,31.52,30.95,31.93,31.47,34.81,30.93,32.20,30.68,31.27,30.54,31.28,33.45,31.91,31.02,31.13,30.85,34.92,33.24
1913,33.26,33.19,30.50,31.04,32.02,35.62,30.51,30.93,31.15,32.63,30.78,34.68,32.17,33.57,34.41,35.93,31.96,33.48,31.44,34.27,31.76,31.36,32.57,31.84,35.35,30.70,32.93,30.43,31.22,31.01,31.24,34.00,32.38,31.16,31.73,30.57,36.43,34.87
1914,33.38,32.92,30.89,31.33,32.06,35.30,30.75,31.21,31.41,32.90,31.11,34.74,32.40,33.75,34.71,36.29,32.22,33.84,31.74,34.65,32.08,31.66,32.90,31.70,35.12,31.04,32.85,30.77,31.43,31.34,31.47,33.73,32.47,31.42,31.66,30.94,36.80,35.26
1915,32.91,32.79,30.71,31.08,31.92,35.17,30.63,30.95,31.10,32.41,30.88,34.19,31.77,33.07,33.88,35.24,31.85,32.99,31.27,33.80,31.50,31.09,32.11,31.59,34.85,30.85,32.49,30.57,31.26,30.81,31.25,33.53,32.19,31.04,31.41,30.74,35.76,34.29
1916,32.98,32.94,30.71,31.08,31.94,35.31,30.63,30.95,31.11,32.46,30.89,34.31,31.85,33.17,34.00,35.24,31.87,33.04,31.36,33.89,31.59,31.10,32.15,31.68,34.99,30.84,32.62,30.57,31.26,30.84,31.25,33.69,32.23,31.05,31.50,30.74,35.76,34.40
1917,33.08,33.30,30.71,31.09,32.03,35.73,30.67,30.95,31.10,32.43,30.88,34.52,31.86,33.27,33.97,35.12,31.85,32.96,31.39,33.77,31.61,31.09,32.13,31.93,35.37,30.85,32.88,30.57,31.30,30.82,31.27,34.06,32.29,31.03,31.72,30.74,35.65,34.24
1918,32.69,32.66,30.71,31.07,31.75,35.07,30.53,30.95,31.09,32.22,30.88,34.01,31.47,32.81,33.49,34.59,31.75,32.71,31.33,33.39,31.55,31.02,32.00,31.41,34.74,30.84,32.32,30.57,31.18,30.72,31.20,33.40,32.03,31.01,31.22,30.74,35.11,33.75
1919,32.81,33.25,30.71,31.07,31.93,35.66,30.62,30.95,31.08,32.13,30.89,34.16,31.41,32.82,33.30,34.57,31.72,32.57,31.36,33.16,31.57,30.97,31.95,31.83,35.24,30.85,32.65,30.57,31.26,30.64,31.24,33.99,32.12,30.98,31.53,30.74,35.04,33.46
