Variable:,tas
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.37,26.82,28.59,29.74,28.43,27.04,25.81,25.06,25.64,26.77,25.91,24.64
1902,24.56,26.86,29.08,29.81,28.92,27.29,25.84,25.46,25.97,26.73,25.91,24.67
1903,24.68,27.03,29.17,29.84,28.88,27.21,25.87,25.44,26.03,26.77,25.91,24.67
1904,24.60,26.90,29.02,29.79,28.84,27.29,25.75,25.31,26.03,26.77,25.91,24.67
1905,24.08,25.92,28.58,29.75,28.97,26.96,25.87,25.23,25.96,26.67,26.50,25.21
1906,24.10,26.94,29.31,30.94,28.98,27.60,25.77,25.24,26.61,27.11,26.25,25.32
1907,24.53,26.15,28.86,29.75,29.42,27.30,26.15,25.46,26.18,27.57,26.00,24.09
1908,24.40,26.58,28.93,30.12,29.57,27.56,26.19,25.06,26.03,26.65,25.56,24.32
1909,24.52,27.46,30.08,29.94,28.72,26.80,25.52,24.52,26.10,26.17,26.04,24.67
1910,24.05,27.18,28.84,29.72,29.08,28.15,26.32,25.53,26.24,26.68,25.47,24.42
1911,24.32,26.83,29.21,29.91,28.87,27.36,25.98,25.43,25.97,26.75,26.16,24.33
1912,24.77,26.99,29.11,30.43,29.14,27.54,26.13,25.51,26.13,26.59,25.35,24.59
1913,24.70,26.97,28.26,29.64,29.25,28.04,26.65,26.29,26.88,26.76,25.87,24.65
1914,25.63,26.78,28.83,29.81,29.60,28.04,26.52,25.61,26.50,27.21,27.02,24.83
1915,24.55,26.98,29.18,29.85,28.91,27.29,25.87,25.39,25.93,26.74,25.89,24.65
1916,24.55,26.95,29.15,29.85,28.89,27.30,25.87,25.36,25.91,26.72,25.86,24.67
1917,24.60,27.01,29.12,29.85,28.88,27.29,25.87,25.39,25.91,26.73,25.84,24.66
1918,24.57,26.93,29.09,29.85,28.89,27.32,25.87,25.35,25.91,26.75,25.89,24.67
1919,24.60,27.01,29.17,29.88,28.92,27.32,25.87,25.39,25.94,26.77,25.91,24.67
1920,24.61,27.01,29.17,29.88,29.00,27.32,25.87,25.39,25.94,26.77,25.91,24.67
1921,24.46,27.01,29.17,29.88,29.05,27.32,25.87,25.39,25.94,26.77,25.91,24.67
1922,24.60,27.01,29.17,29.88,28.94,27.32,25.87,25.36,25.90,26.74,25.89,24.66
1923,25.95,26.68,29.81,29.85,29.06,27.55,25.27,24.43,25.98,27.15,26.61,25.68
1924,25.10,29.03,30.86,30.43,29.51,27.28,24.93,24.37,24.72,26.78,25.59,24.20
1925,21.67,25.47,29.85,29.97,28.57,26.34,25.53,24.48,25.76,25.93,26.53,24.59
1926,25.04,26.75,28.51,29.00,28.64,27.09,26.43,26.04,27.02,27.45,26.96,25.66
1927,24.22,27.31,29.04,29.61,29.53,27.46,25.85,24.46,26.49,27.12,26.58,25.86
1928,24.99,25.91,29.84,29.35,28.70,26.70,26.22,23.97,26.12,26.92,26.31,24.25
1929,23.74,26.88,29.16,29.47,29.28,26.48,24.94,24.17,25.67,26.55,26.28,22.92
1930,24.49,28.60,29.42,30.45,29.19,27.37,25.77,25.55,26.67,27.20,27.17,27.43
1931,25.73,28.31,30.26,31.61,29.71,27.40,26.29,25.70,25.60,27.75,27.54,26.81
1932,24.37,27.59,30.31,30.88,29.22,27.50,25.69,25.49,26.25,27.18,27.63,25.86
1933,25.64,27.57,29.25,30.52,28.26,26.67,25.84,25.18,26.27,26.17,27.60,25.79
1934,24.46,26.72,29.96,30.90,29.29,27.57,26.21,25.15,26.65,27.65,28.17,25.67
1935,25.76,28.06,31.15,30.45,29.72,26.96,26.18,25.08,25.99,27.08,27.40,26.00
1936,24.32,28.23,31.48,30.33,29.22,27.13,24.83,23.95,25.07,26.83,27.25,24.70
1937,24.49,27.36,30.36,30.41,29.52,28.21,26.11,25.44,26.42,28.52,27.54,26.31
1938,25.62,28.21,29.39,31.47,30.85,28.97,26.56,25.24,26.42,27.86,28.56,27.28
1939,25.83,28.27,30.74,29.35,29.24,27.69,26.47,25.62,25.96,27.64,27.01,26.65
1940,24.70,27.01,29.17,29.88,28.99,27.32,25.87,25.39,25.94,26.77,25.91,24.67
1941,26.74,27.31,30.72,31.41,30.06,27.71,26.18,26.01,26.75,27.73,27.21,25.82
1942,25.77,28.63,29.64,30.43,28.67,28.26,26.24,24.86,26.92,27.43,27.13,25.62
