Variable:,tasmin
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,20.62,19.73,21.81,21.71,21.22,20.36,20.98,22.31,21.92,21.05,21.82,19.97,19.16,19.27,19.40,21.52,21.38,21.23,22.82,21.35,22.64,21.36,21.43,19.75,20.13,21.69,19.28,22.29,21.49,20.73,21.47,20.18,20.89,21.95,19.44,22.07,21.16,19.98
1902,20.82,19.97,22.08,21.99,21.52,20.44,21.26,22.58,22.20,21.33,22.10,20.08,19.38,19.41,19.48,21.58,21.67,21.41,23.06,21.53,22.87,21.59,21.64,20.05,20.22,21.98,19.49,22.56,21.78,20.99,21.76,20.41,21.19,22.21,19.73,22.34,21.20,20.04
1903,20.85,20.00,22.20,22.08,21.59,20.44,21.37,22.67,22.25,21.36,22.19,20.08,19.38,19.41,19.48,21.68,21.71,21.42,23.05,21.54,22.84,21.61,21.61,20.10,20.22,22.07,19.50,22.65,21.87,21.01,21.85,20.41,21.23,22.25,19.75,22.45,21.29,20.06
1904,21.01,20.21,21.96,21.90,21.58,20.65,21.21,22.50,22.14,21.47,21.98,20.35,19.66,19.71,19.82,22.05,21.70,21.61,23.04,21.82,22.87,21.63,21.73,20.22,20.44,21.86,19.78,22.44,21.72,21.02,21.70,20.67,21.33,22.18,19.96,22.22,21.67,20.43
1905,20.45,19.25,22.28,22.05,21.19,19.81,21.23,22.67,22.24,21.08,22.22,19.46,18.89,18.83,19.09,21.48,21.59,21.17,22.94,21.27,22.67,21.48,21.34,19.43,19.58,22.11,18.76,22.71,21.73,20.91,21.75,19.64,20.82,22.22,19.09,22.52,21.08,19.78
1906,20.87,19.60,22.25,22.18,21.48,20.11,21.33,22.79,22.43,21.57,22.29,20.11,19.58,19.59,19.84,21.77,21.89,21.76,23.24,21.86,23.09,21.92,21.97,19.77,19.99,22.15,19.32,22.75,21.88,21.30,21.92,20.07,21.20,22.47,19.54,22.53,21.40,20.38
1907,21.02,20.51,22.32,22.12,21.89,20.85,21.58,22.70,22.29,21.53,22.28,20.36,19.63,19.70,19.71,21.30,21.80,21.35,23.03,21.53,22.82,21.62,21.57,20.61,20.58,22.19,19.89,22.74,22.04,21.07,21.93,20.90,21.47,22.28,20.15,22.54,20.93,19.96
1908,20.43,19.30,21.93,21.92,21.12,19.91,20.98,22.54,22.18,21.18,22.01,19.75,19.11,19.15,19.30,20.78,21.58,21.13,23.03,21.18,22.82,21.56,21.48,19.38,19.75,21.84,18.96,22.46,21.56,20.97,21.63,19.78,20.86,22.21,19.18,22.23,20.43,19.55
1909,20.68,20.04,22.42,22.16,21.67,20.44,21.56,22.76,22.25,21.25,22.36,19.94,19.17,19.21,19.14,20.84,21.66,20.99,22.84,21.09,22.59,21.44,21.24,20.20,20.19,22.26,19.42,22.83,22.00,20.89,21.93,20.40,21.19,22.18,19.73,22.65,20.48,19.45
1910,21.04,20.25,21.87,21.90,21.76,20.63,21.27,22.49,22.16,21.58,21.95,20.39,19.80,19.84,19.98,21.80,21.76,21.64,22.99,21.86,22.85,21.68,21.77,20.35,20.43,21.82,19.81,22.39,21.79,21.09,21.74,20.70,21.44,22.21,20.06,22.15,21.44,20.41
1911,21.21,20.49,22.28,22.12,22.09,20.79,21.67,22.70,22.30,21.77,22.25,20.46,19.94,19.91,20.12,21.87,21.94,21.66,23.04,22.00,22.84,21.72,21.69,20.72,20.57,22.17,19.96,22.71,22.10,21.20,21.99,20.87,21.69,22.32,20.31,22.50,21.52,20.58
1912,21.20,20.05,22.31,22.16,21.97,20.39,21.65,22.75,22.35,21.86,22.28,20.43,20.02,19.97,20.32,22.30,21.99,21.90,23.22,22.23,23.05,21.85,21.92,20.40,20.25,22.18,19.75,22.75,22.07,21.31,21.99,20.46,21.63,22.40,20.09,22.54,21.98,20.92
1913,20.78,19.66,21.95,22.02,21.59,20.05,21.23,22.63,22.30,21.46,22.06,20.01,19.51,19.50,19.56,21.53,21.78,21.61,23.31,21.64,23.19,21.82,21.96,19.88,19.90,21.91,19.36,22.51,21.79,21.14,21.81,20.13,21.25,22.35,19.64,22.26,21.13,20.08
1914,21.08,20.07,22.37,22.33,22.02,20.37,21.68,22.91,22.55,21.71,22.41,20.25,19.75,19.72,19.74,21.74,22.02,21.83,23.46,21.83,23.34,22.06,22.17,20.39,20.21,22.28,19.67,22.85,22.17,21.38,22.13,20.50,21.59,22.58,20.01,22.63,21.33,20.26
1915,20.69,20.13,22.19,22.07,21.75,20.49,21.45,22.66,22.24,21.21,22.19,19.89,19.12,19.15,18.99,20.81,21.63,21.05,23.09,21.02,22.88,21.51,21.47,20.29,20.21,22.08,19.47,22.65,21.93,20.87,21.86,20.51,21.26,22.21,19.82,22.44,20.42,19.37
1916,20.59,19.97,22.19,22.07,21.73,20.34,21.46,22.66,22.24,21.15,22.19,19.77,19.03,19.05,18.88,20.53,21.61,20.97,23.01,20.91,22.79,21.49,21.43,20.20,20.07,22.08,19.34,22.65,21.92,20.84,21.87,20.35,21.21,22.20,19.73,22.44,20.15,19.21
