,Date,Year,Month,ISO_3,Precipitation,SPI
0,1901-01-31,1901,January,CAN,35.33,0.056159259056322505
1,1901-02-28,1901,February,CAN,28.57,0.0697897878695596
2,1901-03-31,1901,March,CAN,33.45,-0.5089183275852182
3,1901-04-30,1901,April,CAN,30.85,-0.30163872415070586
4,1901-05-31,1901,May,CAN,38.86,-0.0839544517620374
5,1901-06-30,1901,June,CAN,58.75,-0.7866099876551982
6,1901-07-31,1901,July,CAN,64.68,-0.08284529455219643
7,1901-08-31,1901,August,CAN,54.84,1.4481326844246325
8,1901-09-30,1901,September,CAN,56.97,-0.33890151598650725
9,1901-10-31,1901,October,CAN,45.68,0.6759558348888588
10,1901-11-30,1901,November,CAN,46.72,-0.47268968757945945
11,1901-12-31,1901,December,CAN,40.15,-0.3371276278191686
12,1902-01-31,1902,January,CAN,32.46,0.7531723359858509
13,1902-02-28,1902,February,CAN,32.79,-1.026367132522788
14,1902-03-31,1902,March,CAN,35.37,-1.0350247925191254
15,1902-04-30,1902,April,CAN,28.71,0.48036299022237416
16,1902-05-31,1902,May,CAN,45.61,-1.792646165608102
17,1902-06-30,1902,June,CAN,60.28,-1.1432632829813163
18,1902-07-31,1902,July,CAN,64.44,-0.024901475819158043
19,1902-08-31,1902,August,CAN,64.17,-0.5000541112132724
20,1902-09-30,1902,September,CAN,53.29,0.4063504324478503
21,1902-10-31,1902,October,CAN,43.85,1.0523499920065984
22,1902-11-30,1902,November,CAN,44.22,0.043049286244845934
23,1902-12-31,1902,December,CAN,40.39,-0.39840437759615316
24,1903-01-31,1903,January,CAN,35.28,0.06830234402025089
25,1903-02-28,1903,February,CAN,27.28,0.40487093178096434
26,1903-03-31,1903,March,CAN,34.06,-0.676066735715262
27,1903-04-30,1903,April,CAN,30.14,-0.04218955723253422
28,1903-05-31,1903,May,CAN,39.39,-0.21811839373809905
29,1903-06-30,1903,June,CAN,51.78,0.8381439132748942
30,1903-07-31,1903,July,CAN,68.07,-0.9013017341563293
31,1903-08-31,1903,August,CAN,66.73,-1.0346048289874463
32,1903-09-30,1903,September,CAN,58.05,-0.557616761722677
33,1903-10-31,1903,October,CAN,46.18,0.573115901250132
34,1903-11-30,1903,November,CAN,43.25,0.24315600808867618
35,1903-12-31,1903,December,CAN,36.22,0.6662791497789453
36,1904-01-31,1904,January,CAN,35.76,-0.048271271633467484
37,1904-02-29,1904,February,CAN,32.8,-1.0289646607701628
38,1904-03-31,1904,March,CAN,36.37,-1.3090385763388697
39,1904-04-30,1904,April,CAN,27.37,0.9700276151101904
40,1904-05-31,1904,May,CAN,37.02,0.38182225245674073
41,1904-06-30,1904,June,CAN,55.42,-0.010364580180706632
42,1904-07-31,1904,July,CAN,63.68,0.15858728350212276
43,1904-08-31,1904,August,CAN,57.89,0.8112656183264968
44,1904-09-30,1904,September,CAN,57.89,-0.525214503095097
45,1904-10-31,1904,October,CAN,46.06,0.5977974853234259
46,1904-11-30,1904,November,CAN,40.56,0.7980911439236282
47,1904-12-31,1904,December,CAN,37.42,0.3598954008940243
48,1905-01-31,1905,January,CAN,33.6,0.4763099988082678
49,1905-02-28,1905,February,CAN,26.64,0.5711127396129794
50,1905-03-31,1905,March,CAN,29.38,0.6063177725611415
51,1905-04-30,1905,April,CAN,26.32,1.353720045059599
52,1905-05-31,1905,May,CAN,42.85,-1.0939811092799339
53,1905-06-30,1905,June,CAN,57.74,-0.5511721913941665
54,1905-07-31,1905,July,CAN,61.87,0.5955802497804379
55,1905-08-31,1905,August,CAN,62.9,-0.23486684106749045
56,1905-09-30,1905,September,CAN,58.14,-0.575843032200692
57,1905-10-31,1905,October,CAN,47.45,0.3119024698077655
58,1905-11-30,1905,November,CAN,43.97,0.09462318362727647
59,1905-12-31,1905,December,CAN,37.1,0.4415977339300031
60,1906-01-31,1906,January,CAN,35.17,0.09501713094089471
61,1906-02-28,1906,February,CAN,26.16,0.6957940954869906
62,1906-03-31,1906,March,CAN,28.71,0.7899070077203696
63,1906-04-30,1906,April,CAN,27.14,1.054074528337204
64,1906-05-31,1906,May,CAN,40.8,-0.5750451072970539
65,1906-06-30,1906,June,CAN,62.1,-1.5675175297091168
66,1906-07-31,1906,July,CAN,56.82,1.8148147689547405
67,1906-08-31,1906,August,CAN,56.75,1.0493077348353086
68,1906-09-30,1906,September,CAN,55.31,-0.002728082725357504
69,1906-10-31,1906,October,CAN,52.99,-0.8275639949093268
70,1906-11-30,1906,November,CAN,48.95,-0.9327288522307406
71,1906-12-31,1906,December,CAN,42.85,-1.02649106281024
72,1907-01-31,1907,January,CAN,34.92,0.1557325557605401
73,1907-02-28,1907,February,CAN,28.23,0.15810574828031745
74,1907-03-31,1907,March,CAN,32.8,-0.33080936810238293
75,1907-04-30,1907,April,CAN,29.61,0.15148376455145326
76,1907-05-31,1907,May,CAN,34.09,1.123521026022514
77,1907-06-30,1907,June,CAN,53.62,0.40922753196766837
78,1907-07-31,1907,July,CAN,63.05,0.31068980767634335
79,1907-08-31,1907,August,CAN,68.39,-1.381227560044136
80,1907-09-30,1907,September,CAN,57.8,-0.5069882326170821
81,1907-10-31,1907,October,CAN,42.28,1.3752673836322005
82,1907-11-30,1907,November,CAN,40.79,0.7506431583317928
83,1907-12-31,1907,December,CAN,36.52,0.5896832125577142
84,1908-01-31,1908,January,CAN,32.09,0.8430311647189254
85,1908-02-29,1908,February,CAN,35.79,-1.8056256067353578
86,1908-03-31,1908,March,CAN,35.47,-1.0624261709011003
87,1908-04-30,1908,April,CAN,29.45,0.209951182448506
88,1908-05-31,1908,May,CAN,41.89,-0.8509671766440489
89,1908-06-30,1908,June,CAN,57.83,-0.5721517970015844
90,1908-07-31,1908,July,CAN,59.92,1.066373776986356
91,1908-08-31,1908,August,CAN,60.33,0.30177196544798834
92,1908-09-30,1908,September,CAN,48.54,1.3682924854541543
93,1908-10-31,1908,October,CAN,46.28,0.5525479145223864
94,1908-11-30,1908,November,CAN,41.03,0.7011322168446591
95,1908-12-31,1908,December,CAN,35.31,0.898620159350009
96,1909-01-31,1909,January,CAN,36.33,-0.18670244022225901
97,1909-02-28,1909,February,CAN,32.75,-1.0159770195332873
98,1909-03-31,1909,March,CAN,33.03,-0.3938325383809252
99,1909-04-30,1909,April,CAN,29.15,0.31957759100548006
100,1909-05-31,1909,May,CAN,39.97,-0.364939311372279
101,1909-06-30,1909,June,CAN,49.88,1.2810466983203999
102,1909-07-31,1909,July,CAN,69.82,-1.323808745751385
103,1909-08-31,1909,August,CAN,59.86,0.39991213628934025
104,1909-09-30,1909,September,CAN,54.06,0.25041456280261726
105,1909-10-31,1909,October,CAN,46.86,0.4332535915014637
106,1909-11-30,1909,November,CAN,47.18,-0.5675856587631318
107,1909-12-31,1909,December,CAN,38.57,0.06627764154597601
108,1910-01-31,1910,January,CAN,33.31,0.5467398915990562
109,1910-02-28,1910,February,CAN,32.31,-0.9016857766487778
110,1910-03-31,1910,March,CAN,29.97,0.4446496401074925
111,1910-04-30,1910,April,CAN,28.35,0.6119146804907425
112,1910-05-31,1910,May,CAN,39.08,-0.1396451446577607
113,1910-06-30,1910,June,CAN,53.03,0.5467605020607457
114,1910-07-31,1910,July,CAN,61.98,0.5690226661944631
115,1910-08-31,1910,August,CAN,61.72,0.011527630406542522
116,1910-09-30,1910,September,CAN,51.78,0.7121467482456434
117,1910-10-31,1910,October,CAN,50.54,-0.3236483200795651
118,1910-11-30,1910,November,CAN,45.73,-0.2684570539450341
119,1910-12-31,1910,December,CAN,37.78,0.2679802762285483
120,1911-01-31,1911,January,CAN,36.48,-0.2231316951140459
121,1911-02-28,1911,February,CAN,27.22,0.4204561012652163
122,1911-03-31,1911,March,CAN,28.98,0.7159232860890388
123,1911-04-30,1911,April,CAN,27.91,0.7727000797076379
124,1911-05-31,1911,May,CAN,39.95,-0.3598765211090324
125,1911-06-30,1911,June,CAN,59.22,-0.8961701502717178
126,1911-07-31,1911,July,CAN,62.81,0.3686336264093783
127,1911-08-31,1911,August,CAN,64.44,-0.5564325072285164
128,1911-09-30,1911,September,CAN,53.96,0.2706659744448555
129,1911-10-31,1911,October,CAN,42.43,1.3444154035405826
130,1911-11-30,1911,November,CAN,48.39,-0.8172033220940957
131,1911-12-31,1911,December,CAN,36.36,0.6305343790757044
132,1912-01-31,1912,January,CAN,30.53,1.2218954155935131
133,1912-02-29,1912,February,CAN,25.36,0.9035963552770094
134,1912-03-31,1912,March,CAN,25.33,1.7160735970311056
135,1912-04-30,1912,April,CAN,29.37,0.23918489139703172
136,1912-05-31,1912,May,CAN,40.61,-0.5269485997962023
137,1912-06-30,1912,June,CAN,49.26,1.4255728702826187
138,1912-07-31,1912,July,CAN,67.43,-0.7467848842015694
139,1912-08-31,1912,August,CAN,67.86,-1.2705588567549515
140,1912-09-30,1912,September,CAN,53.88,0.28686710375864555
141,1912-10-31,1912,October,CAN,46.49,0.5093551423941209
142,1912-11-30,1912,November,CAN,42.79,0.33805197927234854
143,1912-12-31,1912,December,CAN,38.36,0.1198947976008373
144,1913-01-31,1913,January,CAN,39.44,-0.9420023249786474
145,1913-02-28,1913,February,CAN,25.63,0.8334630925978782
146,1913-03-31,1913,March,CAN,35.32,-1.021324103328139
147,1913-04-30,1913,April,CAN,28.26,0.6448026030578347
148,1913-05-31,1913,May,CAN,36.31,0.5615513068020307
149,1913-06-30,1913,June,CAN,51.37,0.9337176721531358
150,1913-07-31,1913,July,CAN,65.53,-0.2880629858983649
151,1913-08-31,1913,August,CAN,64.02,-0.46873278009369074
152,1913-09-30,1913,September,CAN,54.17,0.22813800999615558
153,1913-10-31,1913,October,CAN,52.43,-0.7123832692339523
154,1913-11-30,1913,November,CAN,41.63,0.5773548631268255
155,1913-12-31,1913,December,CAN,31.83,1.787133031116279
156,1914-01-31,1914,January,CAN,37.82,-0.5485663721473459
157,1914-02-28,1914,February,CAN,27.33,0.39188329054408894
158,1914-03-31,1914,March,CAN,29.67,0.526853775253415
159,1914-04-30,1914,April,CAN,29.71,0.1149416283657948
160,1914-05-31,1914,May,CAN,35.6,0.7412803611473207
161,1914-06-30,1914,June,CAN,53.6,0.4138896665470938
162,1914-07-31,1914,July,CAN,58.54,1.3995507347013145
163,1914-08-31,1914,August,CAN,54.62,1.4940706367333516
164,1914-09-30,1914,September,CAN,54.03,0.25648998629528885
165,1914-10-31,1914,October,CAN,47.08,0.38800402070042417
166,1914-11-30,1914,November,CAN,47.15,-0.5613967910772399
167,1914-12-31,1914,December,CAN,29.08,2.489262455644221
