Variable:,pr
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,41.97,33.49,70.77,67.57,31.16,60.51,45.38,57.80,84.08,91.61,42.19,75.47
1902,48.64,43.65,48.66,47.32,87.50,61.99,62.63,103.93,64.30,62.83,33.79,82.23
1903,65.66,42.56,64.12,118.45,46.78,56.35,107.28,86.24,81.74,120.99,80.46,29.53
1904,55.73,85.35,59.31,23.80,50.91,49.15,38.95,45.26,56.08,56.79,69.21,88.58
1905,44.65,37.25,97.73,48.58,58.09,96.89,75.18,97.96,86.18,97.12,83.54,33.85
1906,112.41,69.96,82.38,35.79,95.43,48.35,62.02,62.93,36.81,73.28,87.27,74.13
1907,49.69,34.86,46.76,57.36,66.94,76.56,69.86,60.05,30.29,81.81,46.25,69.98
1908,42.56,82.62,56.31,54.11,71.62,57.24,94.04,101.61,51.14,8.53,72.59,39.76
1909,43.92,34.74,78.28,62.18,37.28,82.42,124.72,69.13,71.86,92.13,45.84,122.07
1910,91.24,114.29,32.09,55.35,76.57,100.26,139.42,48.14,91.74,45.30,142.56,81.51
1911,35.90,50.69,74.27,39.60,44.28,81.00,22.64,19.72,56.69,93.24,90.12,107.54
1912,68.86,54.21,96.20,22.20,43.67,79.31,52.19,152.79,85.47,89.23,87.67,75.58
1913,90.09,30.85,78.34,61.79,81.20,85.67,87.28,43.44,64.44,60.26,80.65,74.54
1914,78.20,51.16,142.33,49.88,64.81,84.66,74.93,70.74,83.49,39.83,58.03,111.02
1915,123.32,67.01,43.32,61.55,54.51,51.11,93.40,106.93,57.11,32.02,96.84,178.03
1916,71.96,89.56,65.02,86.65,71.36,105.65,60.77,92.71,70.35,99.24,59.50,126.07
1917,66.30,16.98,67.92,66.23,53.40,105.67,98.23,98.67,21.80,136.02,73.79,39.33
1918,85.51,44.94,41.52,77.45,43.65,38.58,101.94,83.67,128.77,66.90,54.62,122.21
1919,63.67,64.22,86.01,81.05,22.77,40.92,109.27,41.81,63.66,57.28,113.01,168.69
1920,136.27,32.55,30.95,97.89,68.21,47.84,105.63,60.69,65.04,29.50,25.76,61.92
1921,85.03,12.59,33.62,31.52,30.12,41.67,5.86,47.17,27.69,23.25,53.94,59.71
1922,104.36,65.48,63.80,95.23,19.96,58.86,92.16,88.34,97.65,50.07,93.41,94.73
1923,65.60,83.79,53.03,39.15,118.18,58.71,64.79,65.76,68.75,173.22,70.48,94.74
1924,51.01,42.72,49.89,84.61,83.80,52.37,93.71,142.52,74.08,110.85,51.27,51.88
1925,104.31,66.98,61.68,60.88,75.64,46.99,98.22,102.42,107.97,80.39,103.35,153.58
1926,66.19,80.50,37.73,36.53,98.52,71.48,100.69,77.45,46.28,158.07,71.43,49.87
1927,67.87,60.24,64.02,66.52,37.55,105.06,94.16,116.33,90.78,27.96,75.10,71.86
1928,85.84,67.16,30.79,91.11,57.14,74.29,45.75,78.79,34.30,110.01,130.19,78.37
1929,28.16,20.97,6.14,55.98,26.66,69.06,69.49,35.50,35.97,143.32,89.61,125.96
1930,49.07,24.70,43.84,51.37,106.30,49.15,177.69,94.21,115.36,94.34,149.55,55.19
1931,127.38,81.91,14.53,82.78,63.68,48.94,104.42,149.10,57.01,54.88,43.78,52.02
1932,52.08,15.99,47.88,92.29,59.85,44.00,105.20,48.58,123.99,204.05,47.22,21.29
1933,29.15,51.85,43.11,15.64,96.93,94.12,60.95,64.76,63.22,87.07,52.25,8.18
1934,72.62,10.76,63.43,60.80,33.43,79.48,32.25,56.05,51.05,105.07,43.87,130.08
1935,77.81,97.00,24.91,117.48,51.89,115.38,15.79,73.10,123.19,93.24,67.64,80.49
1936,113.21,50.64,23.23,81.22,15.59,86.80,143.65,45.26,86.81,85.91,79.53,54.20
1937,121.69,130.42,91.84,111.54,79.13,52.34,52.82,59.13,90.23,37.64,36.46,81.83
1938,148.50,45.97,26.55,27.95,68.27,30.22,72.32,104.08,46.37,90.55,90.20,67.27
1939,116.55,43.83,89.68,74.41,41.21,54.96,86.27,83.64,65.63,159.30,172.99,42.00
1940,40.87,49.50,95.14,81.59,30.76,67.05,99.95,56.10,92.90,33.97,157.56,106.80
1941,51.36,56.33,94.01,30.76,51.08,75.60,73.20,140.18,27.48,130.42,35.18,81.80
1942,67.40,34.93,61.72,19.90,94.82,48.61,168.43,60.66,69.90,103.63,52.26,70.01
1943,97.06,52.01,27.57,68.20,72.78,88.57,73.17,82.68,66.27,28.87,129.77,48.86
1944,84.50,53.00,34.76,34.78,29.74,85.17,86.53,57.80,120.28,119.19,171.52,90.85
1945,69.42,79.15,41.67,58.39,99.13,57.67,50.74,124.69,90.03,42.54,47.29,87.34
1946,74.67,154.20,43.34,51.36,76.10,99.56,56.68,87.34,85.65,57.87,57.48,75.65
1947,33.39,30.05,110.01,87.10,53.45,54.71,90.97,26.45,44.26,26.16,107.06,126.34
1948,156.72,55.17,38.19,91.04,59.61,102.25,147.67,107.88,56.50,44.59,50.26,67.25
1949,38.27,36.29,52.74,50.72,84.61,37.44,24.15,72.79,71.97,62.61,75.20,84.03
1950,61.23,120.95,26.10,93.88,73.53,61.83,82.55,85.44,108.50,37.95,143.27,109.23
1951,101.18,55.24,101.88,83.24,84.43,93.45,75.10,119.10,83.68,22.71,122.42,76.90
1952,140.81,79.45,83.81,19.53,48.45,43.47,78.45,122.07,97.95,93.56,149.20,137.47
1953,30.23,72.88,13.23,65.14,47.19,102.43,104.28,65.89,56.45,18.43,20.70,40.06
1954,71.92,49.54,49.97,31.91,47.41,80.50,111.78,140.65,106.75,78.95,60.14,76.98
1955,86.92,84.89,33.26,22.05,100.54,64.51,47.33,48.73,72.26,52.70,36.51,104.18
1956,98.95,33.12,52.73,49.79,60.05,83.56,77.61,116.05,71.48,120.55,67.29,54.47
1957,57.50,138.78,51.44,33.84,59.58,70.84,114.65,115.07,150.60,43.93,45.37,47.34
1958,90.02,136.26,34.41,60.30,91.48,80.82,87.54,114.11,65.49,90.20,51.30,93.66
1959,92.71,6.22,70.65,60.78,27.70,42.39,55.80,51.17,6.85,67.44,46.50,91.47
1960,74.02,51.23,44.53,36.62,63.66,69.95,117.03,112.83,106.17,120.60,116.63,91.46
1961,120.86,85.38,27.40,99.12,53.78,83.05,87.24,55.55,70.37,131.48,98.06,97.47
