Variable:,pr
Country:,Denmark
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,33.69,20.36,59.50,60.48,49.49,80.74,45.21,57.38,25.74,44.90,72.14,73.64
1902,59.97,10.92,49.41,26.06,70.62,35.45,58.46,101.22,38.17,63.90,14.60,42.30
1903,45.40,47.94,40.66,52.99,37.34,36.97,81.78,97.37,60.25,165.22,52.28,33.03
1904,48.54,59.75,34.41,59.78,46.09,37.20,15.78,57.53,28.31,63.93,78.95,66.32
1905,31.42,27.58,59.58,56.60,26.60,51.13,58.60,128.35,80.64,91.17,48.92,18.29
1906,80.46,41.69,40.43,35.10,56.23,37.30,34.61,81.64,38.60,70.78,100.20,42.17
1907,41.78,34.15,30.70,23.71,52.69,88.59,57.03,88.10,19.97,70.50,50.74,82.07
1908,35.04,55.24,46.64,48.09,64.32,42.71,63.12,78.43,68.82,14.53,54.51,36.71
1909,42.97,18.20,44.29,49.00,42.34,55.01,77.49,68.59,74.95,86.69,66.10,88.52
1910,55.72,74.53,19.58,49.51,39.81,54.93,86.30,118.24,48.03,27.25,89.37,60.65
1911,32.35,68.56,46.55,32.77,30.26,69.38,38.95,36.55,36.50,105.91,131.20,77.25
1912,25.79,47.14,52.50,40.25,43.89,77.64,63.17,121.84,53.80,105.24,86.23,110.26
1913,34.39,26.15,65.47,28.43,23.09,42.94,35.93,51.79,43.63,60.11,88.91,74.02
1914,34.12,51.16,84.50,46.57,35.31,25.47,91.67,38.99,64.97,51.18,75.84,88.97
1915,71.62,40.37,41.19,28.49,36.50,14.16,118.20,52.96,47.66,20.92,73.70,113.32
1916,87.29,44.06,24.47,41.45,63.15,83.15,56.79,99.95,54.94,107.72,88.37,91.21
1917,46.58,11.26,49.18,39.18,9.25,53.69,55.14,106.06,72.39,127.25,97.60,31.91
1918,45.01,45.84,9.17,47.00,16.69,39.73,69.33,66.07,127.54,53.38,34.02,88.85
1919,59.77,39.14,47.73,49.72,20.23,53.81,70.18,55.14,53.67,43.82,44.64,84.09
1920,76.08,49.42,32.44,99.10,82.45,28.62,95.35,79.18,63.76,14.64,25.97,63.67
1921,103.97,24.45,37.89,24.81,32.12,27.65,32.34,89.43,38.96,66.73,64.20,98.87
1922,36.46,31.82,47.36,48.03,30.52,48.54,91.73,87.43,91.81,16.57,51.53,80.28
1923,54.03,32.04,19.49,44.41,73.05,34.83,68.21,106.88,75.96,120.49,130.80,36.81
1924,30.20,25.23,44.78,63.86,68.22,35.74,77.51,94.88,74.35,61.97,43.65,61.37
1925,61.04,53.73,27.63,31.18,60.53,34.75,50.74,69.90,82.19,77.32,73.37,78.69
1926,45.31,64.89,26.50,36.90,55.23,66.07,65.16,63.26,82.73,103.52,82.03,44.89
1927,82.65,26.42,73.31,72.61,44.23,91.08,104.40,118.62,85.09,113.29,59.27,31.06
1928,66.22,63.59,22.93,19.64,42.22,70.65,53.37,98.43,37.83,92.44,158.89,35.44
1929,21.21,22.59,13.37,45.06,49.15,62.82,45.36,63.97,31.40,99.70,95.72,105.01
1930,44.92,12.55,34.06,38.31,74.99,45.86,108.66,80.53,104.54,95.00,97.77,35.23
1931,80.23,47.43,23.78,49.99,64.03,41.82,112.82,77.45,70.43,47.40,42.21,42.03
1932,59.58,3.36,27.46,54.41,62.41,21.04,94.36,41.47,95.81,149.50,44.11,35.16
1933,33.18,48.64,54.88,14.24,34.30,61.78,76.34,54.62,23.04,104.01,20.96,10.41
1934,58.84,29.35,51.70,30.59,34.83,40.45,39.55,128.56,88.02,138.60,51.25,63.79
1935,31.76,72.81,18.31,56.17,25.36,82.44,51.33,48.75,135.56,121.73,64.55,63.21
1936,86.56,54.31,21.37,82.52,39.00,16.19,124.40,45.20,43.33,77.74,59.82,49.66
1937,56.71,78.01,59.57,55.96,70.70,60.32,57.02,38.78,86.24,19.87,47.35,66.20
1938,69.22,23.06,22.31,13.77,61.52,53.42,79.09,66.09,46.15,121.23,90.99,75.02
1939,88.65,32.07,30.80,39.54,16.70,37.09,110.04,84.41,46.88,55.66,88.78,45.96
1940,28.01,18.11,73.52,39.99,27.18,20.17,83.11,75.71,84.82,65.80,93.96,44.24
1941,26.08,44.88,36.18,20.99,23.36,29.67,86.56,123.93,26.93,94.91,24.81,59.06
1942,20.32,19.85,33.05,31.26,42.05,36.85,70.34,98.79,85.58,81.05,51.49,75.69
1943,74.07,50.32,22.82,36.59,27.47,62.13,48.09,130.73,57.92,47.00,82.26,29.13
1944,72.91,18.52,33.53,28.09,63.98,77.19,49.98,35.67,110.42,59.69,121.13,70.19
1945,72.26,72.54,22.74,40.29,59.58,67.25,59.83,117.69,55.65,60.03,47.65,76.11
1946,45.03,62.91,40.52,20.41,42.60,118.00,75.66,71.37,151.37,39.29,73.15,36.24
1947,18.37,8.53,72.22,48.46,10.98,43.81,67.67,11.27,46.37,17.57,103.12,48.81
