Variable:,pr
Country:,Estonia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.35,40.61,16.87,40.47,6.37,60.13,24.87,59.96,31.28,32.85,62.90,58.14
1902,57.22,22.91,43.64,8.85,76.95,82.87,90.58,96.21,67.16,58.72,33.76,42.64
1903,42.39,47.45,23.44,57.64,58.84,76.65,61.59,138.46,42.67,71.31,62.99,18.41
1904,23.09,59.81,13.78,52.66,50.37,67.68,53.38,113.03,31.68,45.96,54.62,72.42
1905,51.66,23.63,36.46,38.23,27.08,21.02,81.05,103.25,48.08,95.68,47.55,26.89
1906,49.28,40.85,40.90,38.94,44.01,68.08,59.16,117.42,43.02,32.16,76.42,53.36
1907,39.18,24.33,19.52,37.87,45.13,74.36,70.66,89.52,61.07,26.76,23.40,18.21
1908,42.93,45.01,25.31,35.22,36.20,57.26,58.02,81.16,67.97,35.60,48.89,21.33
1909,22.65,20.84,37.37,42.06,26.05,32.86,99.11,64.62,36.12,45.47,70.53,60.96
1910,53.65,40.63,25.44,24.02,46.67,42.12,73.93,95.04,48.09,28.30,63.45,69.82
1911,41.64,49.53,14.77,31.43,42.79,52.70,55.21,71.88,64.73,71.68,81.66,37.08
1912,25.32,20.01,46.32,28.61,59.41,68.34,33.76,80.01,102.21,65.65,64.84,69.19
1913,25.21,43.41,45.04,35.22,24.78,42.51,66.44,61.51,46.49,41.26,71.41,65.26
1914,39.04,28.02,51.82,22.05,60.10,30.85,23.65,40.71,91.50,25.95,39.18,79.97
1915,49.29,41.96,28.97,34.94,42.96,42.74,88.98,47.30,95.16,36.90,60.84,64.78
1916,48.71,34.76,32.74,21.42,69.42,94.48,63.66,100.96,42.32,72.67,58.23,44.51
1917,39.04,27.88,22.28,49.51,25.13,38.95,46.91,47.80,85.98,77.91,78.44,53.96
1918,60.55,30.91,5.34,20.74,10.86,57.40,75.29,51.01,121.83,57.94,25.99,74.25
1919,30.40,30.33,36.10,40.51,10.46,71.09,58.15,81.86,56.45,47.93,39.06,46.72
1920,34.43,26.14,20.22,64.30,49.49,52.52,53.47,78.42,49.05,18.60,24.86,17.55
1921,77.04,15.58,35.05,34.73,34.49,70.71,61.63,46.92,67.11,60.85,33.51,55.83
1922,29.40,29.48,41.56,38.37,52.04,86.32,57.56,91.67,46.27,38.25,44.44,35.82
