Variable:,pr
Country:,France
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,42.10,36.55,88.75,79.08,40.01,52.04,82.33,53.08,115.29,94.31,27.02,100.18
1902,43.85,69.93,61.52,72.05,64.88,73.48,45.84,87.75,55.78,67.23,71.55,55.27
1903,51.15,23.26,54.71,68.77,65.80,93.49,73.97,69.12,52.63,108.38,58.99,82.06
1904,58.59,103.31,46.31,40.74,55.49,82.84,35.21,50.60,75.41,35.42,34.24,66.31
1905,52.89,29.05,75.14,45.07,63.30,78.63,34.92,107.10,105.00,45.90,127.60,34.42
1906,82.29,74.59,53.80,62.44,50.24,20.69,51.86,26.10,31.33,75.95,117.70,87.06
1907,39.74,47.60,34.94,64.66,73.89,66.86,53.98,27.97,70.79,169.95,69.51,95.86
1908,27.08,58.52,56.34,53.22,64.65,86.54,65.78,68.65,70.11,29.74,54.71,76.04
1909,40.04,28.13,94.99,48.99,38.14,106.63,55.37,64.83,92.63,95.76,47.89,112.35
1910,89.39,100.50,46.66,61.14,88.34,105.93,77.43,85.12,44.35,89.06,166.48,111.50
1911,31.96,29.75,58.21,38.96,66.72,85.62,24.41,37.26,57.30,111.46,109.77,107.65
1912,76.55,64.23,89.36,33.31,53.91,83.94,74.47,130.97,41.79,83.78,64.76,49.76
1913,85.05,37.85,77.92,80.63,80.50,58.71,59.63,50.40,90.53,87.27,91.14,65.32
1914,34.47,67.44,105.57,40.14,81.44,75.96,95.86,77.59,64.17,77.76,74.48,113.74
1915,96.76,93.68,42.42,65.93,91.29,79.34,66.85,48.31,78.36,51.38,82.60,111.06
1916,26.39,110.32,78.33,66.52,56.91,62.94,65.93,67.47,86.84,84.46,101.80,121.64
1917,58.78,32.52,80.60,55.96,94.53,93.38,67.45,90.93,43.48,111.12,48.21,64.71
1918,52.98,20.69,54.32,93.33,64.24,55.38,44.94,37.66,108.58,72.69,79.68,91.17
