Variable:,pr
Country:,"United Kingdom"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,73.30,56.22,78.43,78.98,42.34,67.53,70.99,87.83,65.41,101.27,98.32,151.46
1902,69.00,51.99,71.58,53.45,81.94,69.55,72.64,91.13,67.01,90.76,80.99,102.51
1903,136.45,108.12,144.21,60.38,81.20,69.48,113.14,140.80,105.76,225.00,89.83,81.95
1904,107.61,113.81,62.28,75.62,78.55,46.34,75.70,107.63,73.87,56.40,76.77,93.63
1905,57.30,61.90,124.02,76.29,36.27,64.13,55.37,119.04,72.72,90.65,137.86,50.91
1906,144.10,92.23,76.11,42.67,103.14,53.58,52.58,95.92,41.45,163.34,134.04,106.25
1907,60.22,71.50,72.92,77.04,102.02,112.68,73.10,99.22,30.97,176.11,92.45,131.93
1908,84.32,79.55,122.59,77.71,66.23,52.73,85.79,99.52,109.33,59.22,73.05,97.37
1909,81.01,45.83,120.07,84.57,57.71,78.11,105.64,83.66,77.84,161.64,55.21,151.56
1910,114.39,121.64,46.25,91.02,68.11,67.39,94.62,133.90,26.55,94.96,145.22,137.46
1911,54.85,100.38,61.08,66.25,49.95,80.33,42.55,65.00,69.61,102.97,145.28,188.41
1912,116.93,81.67,124.14,29.40,60.97,124.95,91.97,164.71,59.18,119.00,103.89,145.71
1913,127.44,52.24,133.08,97.46,80.73,57.59,31.68,45.20,80.40,102.82,114.52,86.12
1914,78.34,104.12,130.00,49.87,59.36,54.23,97.23,80.05,59.42,68.87,141.05,206.42
1915,122.01,137.29,58.14,59.54,56.67,39.16,127.74,82.17,64.42,79.43,85.87,204.68
1916,98.93,144.71,102.17,67.41,95.05,81.13,73.68,93.07,56.28,173.36,129.95,118.93
1917,80.96,38.31,79.48,62.38,71.76,72.35,62.49,161.96,69.93,167.88,118.06,66.34
1918,110.32,102.44,44.39,51.81,70.07,42.44,125.31,81.48,194.15,103.03,89.49,141.08
1919,131.92,67.01,124.62,80.64,30.63,62.33,51.53,88.10,79.44,82.77,112.65,171.48
1920,137.54,91.21,110.14,105.10,96.31,65.87,125.82,73.20,78.14,80.98,80.63,110.96
