Variable:,pr
Country:,India
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.13,20.05,21.32,25.99,55.09,111.72,248.29,257.81,121.30,60.70,37.99,9.50
1902,7.87,3.27,14.61,32.87,47.62,131.09,268.76,212.70,213.29,70.70,24.13,19.46
1903,10.44,6.54,11.69,13.66,60.66,157.74,303.66,273.62,190.55,97.88,37.06,16.03
1904,9.59,7.49,24.50,23.42,70.72,143.88,259.25,220.55,131.42,68.30,8.89,9.13
1905,17.64,15.43,24.89,31.64,51.35,83.52,252.51,222.41,194.31,54.27,9.88,4.82
1906,12.01,30.74,24.02,11.95,37.15,198.65,279.59,266.60,159.28,55.32,18.15,19.43
1907,10.12,28.07,29.72,56.10,33.92,174.07,233.36,293.17,99.25,23.11,22.21,9.47
1908,16.87,14.94,9.57,21.79,46.71,163.77,310.51,325.92,164.99,39.24,5.07,3.57
1909,17.78,9.65,4.63,55.81,54.72,222.00,320.24,233.97,160.83,36.69,9.27,18.62
1910,11.03,9.11,10.81,23.26,41.19,210.98,290.91,290.09,189.81,100.92,35.79,2.76
1911,19.89,3.11,28.02,21.67,52.97,197.32,182.78,226.80,172.44,69.78,35.83,10.95
1912,11.68,15.36,14.23,29.91,43.45,115.62,318.49,265.61,125.72,68.14,48.32,4.35
1913,3.49,27.67,20.61,21.72,67.90,217.85,286.41,217.22,122.91,75.44,13.45,19.34
1914,3.04,14.61,12.78,41.06,56.66,180.23,335.80,244.07,207.01,44.51,21.73,13.97
1915,17.73,24.95,40.82,32.50,60.47,176.22,264.99,235.18,184.86,84.90,39.00,7.19
1916,1.80,11.92,5.37,34.22,53.40,191.95,286.43,306.06,205.57,137.07,40.58,3.16
1917,5.05,27.01,16.59,30.18,72.15,202.79,267.57,285.19,274.07,128.14,29.27,6.49
1918,9.22,3.58,16.74,25.72,66.31,169.60,153.28,233.71,107.46,20.40,38.96,11.60
1919,34.09,11.37,11.42,24.67,57.83,167.38,278.57,295.16,171.58,71.61,47.92,13.95
1920,15.50,11.39,22.94,25.30,51.42,149.47,274.93,167.71,121.73,45.66,24.34,1.37
1921,27.13,3.77,8.72,43.02,27.98,166.62,302.16,256.95,189.50,64.34,18.12,6.33
1922,19.84,6.57,7.28,16.67,45.02,192.42,293.54,209.31,228.85,53.75,50.36,12.47
1923,10.71,28.74,17.58,28.91,40.58,104.05,313.80,264.46,171.36,53.51,11.64,12.74
1924,19.09,10.75,7.41,22.60,50.10,123.46,294.44,269.77,240.67,63.39,38.85,12.33
1925,7.15,4.21,10.23,39.50,76.59,179.86,314.57,238.11,121.41,64.56,41.18,16.31
1926,20.60,4.53,38.09,29.74,53.91,89.31,321.69,321.74,190.62,54.04,11.77,6.13
1927,9.43,20.53,22.59,18.47,45.08,184.43,322.99,229.77,148.98,63.35,47.55,8.10
1928,13.01,24.22,10.57,29.42,45.53,138.71,293.41,210.35,152.80,117.37,18.70,18.72
1929,17.13,11.92,10.67,40.87,52.27,167.56,290.36,219.59,139.82,86.99,19.23,20.03
1930,12.89,12.42,13.75,24.95,56.31,155.25,291.04,179.44,164.50,100.12,40.09,10.91
1931,5.97,16.08,14.27,32.10,46.10,116.25,318.59,274.20,199.47,111.64,40.50,18.58
1932,4.07,12.98,13.28,31.30,64.68,128.10,337.39,228.94,168.83,76.12,46.32,9.72
1933,9.95,14.77,12.96,36.37,85.24,188.76,279.44,345.11,210.73,95.92,19.54,16.11
1934,19.52,7.72,13.54,26.92,50.96,168.81,281.38,299.29,186.36,67.61,29.75,8.75
1935,22.12,13.26,8.02,33.54,26.67,155.72,306.45,254.79,176.81,57.05,14.25,7.93
1936,5.13,26.68,20.99,24.78,72.20,228.50,272.19,222.89,197.24,72.77,48.24,14.51
1937,3.07,33.71,16.40,48.59,52.22,153.34,310.99,191.57,184.65,96.12,18.17,9.91
1938,20.07,13.47,12.86,22.63,62.24,232.41,289.40,266.26,155.18,72.43,13.69,4.14
1939,10.48,14.14,21.30,25.36,37.32,146.92,273.83,244.18,141.81,90.91,29.83,1.63
1940,9.64,18.51,29.78,35.09,67.29,183.82,287.09,291.96,122.93,69.04,36.54,11.25
1941,18.81,11.07,11.70,30.06,59.51,162.13,253.95,217.52,144.08,63.85,21.54,15.72
1942,15.24,24.98,11.41,38.94,48.66,147.91,351.52,305.13,184.57,36.37,11.02,20.89
1943,28.04,7.60,13.34,49.07,66.10,141.29,301.22,218.84,192.90,98.15,18.41,3.39
1944,21.16,26.15,42.23,30.60,38.37,152.62,335.03,295.44,148.25,89.99,25.70,9.79
1945,24.93,6.21,7.28,39.42,48.63,147.44,335.86,245.11,208.63,80.62,18.15,4.75
1946,2.57,13.19,15.50,39.35,59.55,181.79,301.74,295.33,140.98,82.14,63.08,23.98
1947,18.12,12.79,21.38,27.20,45.17,120.33,309.47,306.38,254.75,69.14,6.30,14.88
1948,22.24,18.83,19.67,39.32,64.66,140.22,301.29,274.47,168.79,64.90,57.76,5.55
1949,8.19,13.08,13.33,38.65,72.40,146.49,322.30,252.57,221.41,92.84,9.14,1.60
1950,13.10,16.63,24.46,13.82,43.74,134.21,334.08,239.45,190.33,54.50,22.82,5.60
1951,9.80,4.32,29.54,37.72,54.14,148.83,285.87,231.13,137.51,75.17,29.71,2.87
1952,7.11,12.97,21.30,32.93,57.27,154.19,262.83,229.15,113.21,77.56,6.83,18.40
1953,21.38,6.76,12.16,35.49,38.88,173.88,302.58,283.30,171.04,91.37,10.01,2.79
1954,17.92,20.35,14.53,25.29,48.74,161.64,306.18,261.03,228.20,76.78,2.46,12.54
1955,18.23,4.34,18.71,33.54,63.23,159.38,255.17,321.45,226.78,132.01,24.57,8.77
1956,13.73,7.06,20.36,30.24,73.33,207.75,349.36,268.99,183.39,128.93,42.37,8.83
1957,25.14,6.76,22.38,26.72,48.85,148.26,282.01,264.59,112.85,64.70,25.08,9.78
1958,12.03,9.18,13.01,34.27,52.37,97.72,325.74,297.22,200.67,95.81,32.79,7.86
1959,21.81,10.64,12.41,32.95,69.03,180.40,338.52,264.18,223.50,110.51,22.40,4.40
1960,12.86,2.67,24.26,18.15,49.62,135.59,310.71,228.37,160.16,66.85,32.29,5.77
1961,23.60,20.82,9.29,21.74,66.02,195.31,315.81,286.32,213.00,112.93,14.75,7.39
1962,15.93,15.28,15.92,35.16,59.41,118.47,294.54,259.71,231.77,79.76,16.10,27.48
1963,8.85,7.78,22.11,38.42,46.61,150.01,273.12,299.01,168.75,103.52,19.95,11.50
1964,5.09,7.04,11.77,28.51,48.99,139.82,348.30,293.75,201.67,72.93,24.86,7.14
1965,8.05,12.43,15.63,29.11,35.75,111.98,306.26,226.87,136.12,34.62,17.09,19.59
1966,14.77,9.67,9.69,16.72,51.40,151.35,267.82,217.69,157.28,57.56,53.96,16.44
1967,10.41,4.90,46.66,24.64,38.23,160.94,318.09,258.63,158.98,43.94,12.16,36.66
1968,16.49,13.91,22.15,34.90,40.14,162.57,272.20,201.71,145.56,72.28,18.71,8.15
1969,6.48,5.48,16.80,27.01,52.09,120.12,329.25,247.84,178.02,57.12,32.92,12.66
1970,18.06,15.79,21.89,24.42,60.09,213.80,253.03,327.79,225.78,79.71,16.36,1.15
1971,11.41,13.08,10.78,36.38,68.82,207.47,234.97,279.11,163.42,97.10,13.81,8.55
1972,5.65,15.48,9.15,23.45,44.98,112.40,206.75,213.19,133.98,67.48,25.74,16.07
1973,12.34,11.98,13.57,20.51,65.27,151.42,308.33,304.11,179.44,118.39,17.36,15.46
1974,5.04,5.22,18.09,25.10,66.49,127.80,271.61,229.06,147.45,114.18,8.93,4.99
1975,12.52,12.92,18.79,18.46,54.59,185.61,304.58,272.95,257.45,115.29,22.14,2.88
1976,8.30,11.40,12.25,28.56,46.50,163.57,291.50,292.94,156.15,35.36,51.62,3.96
1977,11.67,8.63,11.77,52.69,79.98,191.12,302.47,238.85,148.63,91.71,61.17,9.12
1978,8.66,23.38,25.67,31.05,63.51,200.67,283.52,284.09,167.87,54.79,41.78,21.19
1979,16.54,27.67,11.19,22.73,46.92,156.79,234.91,246.44,158.69,51.47,63.21,12.16
1980,6.44,10.76,18.00,23.07,54.90,193.22,292.91,273.94,123.41,47.64,21.44,17.19
1981,20.72,8.59,34.10,35.36,64.94,142.82,319.13,253.92,204.78,52.51,22.46,11.81
1982,17.44,11.22,25.78,38.18,52.07,128.74,250.82,246.21,132.02,50.98,42.83,7.04
1983,11.92,12.40,18.95,28.01,63.77,152.79,305.00,293.46,222.19,94.99,10.81,22.48
1984,17.29,21.04,12.59,36.44,45.96,146.52,290.02,245.52,157.82,60.85,11.33,9.72
1985,16.51,5.95,14.27,27.48,55.82,129.78,290.74,241.93,142.72,114.52,16.84,16.27
1986,11.49,18.27,12.00,31.59,52.54,151.97,256.50,241.91,133.26,65.73,39.95,16.95
1987,11.22,10.64,22.28,32.68,46.76,120.76,208.84,274.18,122.29,85.95,25.29,24.49
1988,4.57,11.77,23.35,39.78,58.37,166.40,354.92,283.73,230.80,49.68,20.87,15.84
1989,14.70,6.41,22.48,19.33,46.18,152.33,298.30,232.41,157.90,58.81,15.52,9.66
1990,6.29,27.74,28.94,28.16,85.53,179.54,285.45,301.58,173.05,86.77,25.31,13.79
1991,12.20,12.26,14.70,31.72,52.32,175.95,255.15,234.00,139.25,65.58,28.59,11.48
1992,13.59,14.10,11.37,15.74,51.26,104.92,218.17,254.10,175.54,68.84,33.44,4.00
1993,7.86,12.86,21.85,22.92,62.17,149.47,288.04,192.12,189.42,82.94,23.14,14.13
1994,20.93,16.09,14.12,35.47,42.07,162.14,334.13,265.94,149.81,90.55,19.43,5.59
1995,24.75,15.43,23.12,21.68,55.51,137.08,319.03,253.15,184.30,81.55,24.43,6.71
1996,16.35,12.32,16.20,30.77,39.44,166.75,278.54,271.18,148.74,105.18,14.43,10.22
1997,11.83,5.27,19.27,40.09,39.16,134.57,267.89,282.70,161.77,67.69,57.35,32.15
1998,8.02,17.10,23.96,34.01,51.50,137.37,294.86,266.45,193.59,107.38,40.34,12.49
1999,10.35,13.43,4.83,17.28,69.58,136.33,265.41,229.03,184.64,111.57,14.92,5.17
2000,9.74,18.03,10.37,31.72,75.54,164.75,289.32,237.03,131.83,50.85,14.22,8.59
2001,8.92,5.48,14.64,34.52,71.08,190.64,259.89,218.93,101.98,93.02,18.65,6.66
2002,12.36,12.49,12.34,28.50,49.94,154.33,154.08,253.05,128.47,71.70,24.73,6.11
2003,8.37,25.46,18.39,28.74,27.91,144.40,304.97,217.42,156.97,97.23,14.96,9.37
2004,15.38,5.03,8.31,33.61,59.23,150.00,230.07,260.68,135.92,108.66,16.40,5.07
2005,16.18,13.34,25.51,31.19,44.12,128.86,290.72,209.38,225.90,98.65,21.16,9.56
2006,5.96,5.54,35.00,35.28,75.46,137.62,314.51,271.10,192.41,79.93,31.97,4.93
2007,2.44,29.42,17.77,33.52,46.36,159.64,288.53,259.22,212.80,54.94,21.17,7.97
2008,12.54,12.06,19.30,31.04,46.55,210.19,259.66,292.35,172.72,62.47,28.28,8.95
2009,6.04,6.71,12.17,16.90,59.45,94.53,291.88,211.55,163.34,71.71,52.25,11.65
2010,7.49,8.85,10.86,33.85,55.43,141.10,303.62,299.74,227.33,91.10,52.64,16.68
2011,4.50,19.59,10.46,30.82,47.41,180.17,269.50,302.67,204.27,47.17,18.94,8.88
2012,20.24,4.59,7.39,37.67,31.17,102.95,266.21,275.86,226.38,59.84,24.04,9.45
2013,7.62,23.55,13.57,28.73,48.22,229.72,347.61,252.53,161.08,113.90,21.08,7.01
2014,16.57,20.99,20.49,21.26,58.64,107.32,282.04,227.32,211.02,75.17,15.50,8.80
2015,16.29,11.95,34.02,50.99,51.80,185.12,264.37,252.07,156.85,48.28,41.11,11.60
2016,8.69,9.05,22.16,23.09,66.75,153.62,338.91,252.19,165.14,57.08,10.18,11.45
2017,13.36,6.35,19.09,37.04,49.51,159.55,321.55,251.84,175.53,90.71,22.35,10.22
2018,3.04,6.04,10.62,33.22,52.52,155.41,304.57,230.57,149.88,45.87,17.25,9.86
2019,11.97,16.80,11.37,27.03,47.25,122.75,325.33,321.40,280.21,118.95,25.56,12.30
2020,22.59,10.13,25.58,42.91,56.75,160.02,264.57,312.87,206.93,92.44,25.31,11.84
2021,15.65,5.16,16.57,26.14,67.00,161.84,309.07,214.81,222.42,106.03,51.23,13.92
