Variable:,pr
Country:,Japan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,96.87,54.01,81.61,124.06,90.81,242.91,281.28,128.55,150.06,196.34,77.92,123.09
1902,54.44,40.08,100.07,146.25,219.82,166.47,221.67,246.20,196.51,112.61,103.06,141.71
1903,118.67,80.66,151.89,142.40,208.80,131.60,366.50,80.10,185.23,155.14,123.21,88.34
1904,49.50,58.85,116.74,152.26,138.03,234.36,231.38,88.89,188.43,146.32,75.27,90.59
1905,75.05,63.81,109.97,142.45,133.87,339.60,227.54,374.37,133.32,124.32,63.86,119.26
1906,94.08,128.90,90.12,73.23,137.05,206.01,202.26,117.61,226.42,173.80,74.21,83.13
1907,82.58,57.64,92.46,127.05,151.95,189.55,209.21,202.91,241.44,133.28,99.46,61.03
1908,66.10,43.72,113.50,175.00,122.88,221.61,199.33,223.61,147.51,118.15,64.95,98.30
1909,110.67,63.97,132.84,124.35,147.40,239.95,136.89,129.48,325.90,101.79,101.20,52.10
1910,130.46,66.37,100.51,89.91,112.73,236.34,163.85,238.33,280.88,121.17,98.31,56.02
1911,102.17,49.46,125.54,152.96,94.74,287.15,276.43,260.94,230.97,159.15,114.64,75.93
1912,75.37,139.09,131.01,132.32,102.45,164.78,264.70,96.16,252.22,103.87,72.13,118.78
1913,82.46,59.64,51.83,135.22,158.78,186.33,115.85,191.14,133.29,152.89,104.58,109.74
1914,69.81,72.47,155.28,113.77,171.66,218.49,156.75,203.33,159.73,138.81,101.52,79.46
1915,113.36,145.90,103.08,186.84,134.36,249.80,87.66,199.53,167.33,219.54,83.08,59.58
1916,60.64,122.00,67.41,135.66,119.93,226.90,212.47,138.77,252.63,190.26,137.06,88.93
1917,81.07,52.10,137.13,95.72,67.12,210.70,112.57,151.44,287.96,238.04,91.31,57.85
1918,48.17,54.92,121.71,128.38,130.16,166.14,216.81,191.62,219.78,158.08,129.14,96.58
1919,110.07,86.61,108.61,93.33,95.06,188.71,212.74,194.06,205.62,137.01,103.90,109.91
1920,109.40,102.54,116.47,107.80,146.74,211.30,161.27,248.39,197.19,117.60,102.57,138.37
1921,97.06,67.50,118.36,150.79,144.74,287.11,230.66,144.16,267.90,103.56,80.60,77.55
1922,81.01,151.05,106.01,113.41,91.23,137.54,267.43,147.78,159.27,154.29,140.61,62.04
1923,85.50,87.63,101.42,134.59,205.36,307.26,302.94,76.66,262.92,190.46,140.24,68.96
1924,48.29,73.52,54.81,118.66,148.20,127.27,104.51,160.14,207.52,160.97,98.24,58.31
1925,47.38,68.98,71.18,88.42,134.50,144.01,154.51,189.30,300.24,102.83,119.64,127.60
1926,65.81,78.87,80.67,89.23,149.77,109.58,193.27,132.59,223.67,134.62,67.11,115.85
1927,61.42,63.11,145.12,112.80,120.80,106.12,209.37,220.96,227.64,94.84,87.76,75.10
1928,123.17,89.46,88.98,110.18,99.56,287.09,185.34,145.85,160.41,129.00,108.97,77.25
1929,43.29,52.04,68.43,111.41,136.80,115.44,149.12,160.33,266.27,153.21,135.70,114.33
1930,57.69,84.11,117.17,141.35,102.85,178.29,159.52,172.37,134.09,138.29,129.07,64.42
1931,93.93,88.24,92.07,136.14,127.42,159.08,304.12,109.82,176.94,179.39,97.95,107.33
1932,47.69,68.21,70.34,153.26,115.98,157.98,225.07,228.11,247.59,75.76,142.26,95.58
1933,77.65,52.00,122.24,142.40,116.16,126.47,148.69,172.16,122.02,197.26,105.81,80.65
1934,56.40,47.39,86.25,112.09,103.32,152.67,168.12,113.23,257.82,124.03,125.33,77.13
