Variable:,pr
Country:,"Saudi Arabia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.38,7.38,22.29,20.66,10.84,1.13,1.46,2.25,0.74,3.62,11.94,9.78
1902,10.82,6.96,21.14,20.58,10.29,1.13,1.46,2.24,0.74,3.94,12.90,9.37
1903,11.24,8.27,21.72,20.79,10.31,1.14,1.46,2.25,0.74,3.54,11.72,9.59
1904,11.12,7.10,22.89,20.17,11.51,1.13,1.46,2.24,0.74,3.63,11.95,9.59
1905,10.90,7.55,22.23,19.96,10.47,1.13,1.46,2.24,0.74,3.59,11.68,10.64
1906,11.29,8.18,23.48,20.35,10.89,1.13,1.46,2.25,0.74,3.52,11.87,8.69
1907,12.12,9.02,20.96,20.37,10.35,1.13,1.46,2.26,0.73,3.39,11.53,8.93
1908,11.90,7.19,21.70,20.23,10.60,1.13,1.46,2.24,0.73,3.36,11.54,9.01
1909,11.64,6.80,21.18,22.62,11.36,1.13,1.46,2.25,0.74,3.66,12.70,10.24
1910,12.10,7.05,22.50,20.00,10.65,1.13,1.46,2.26,0.74,3.57,11.75,9.62
1911,11.48,7.31,26.66,20.24,10.28,1.13,1.48,2.24,0.74,3.63,12.71,9.90
1912,11.87,7.52,21.70,22.25,10.47,1.13,1.46,2.26,0.74,3.74,11.82,12.99
1913,11.42,9.18,21.27,19.96,10.47,1.13,1.47,2.26,0.74,3.67,11.87,10.49
1914,11.42,7.72,22.16,21.23,10.51,1.13,1.47,2.25,0.74,3.59,12.60,9.69
1915,11.32,7.60,23.18,21.28,10.52,1.13,1.46,2.24,0.74,3.56,11.92,9.48
1916,11.64,7.64,22.37,20.84,10.46,1.13,1.47,2.26,0.74,3.56,12.19,9.77
1917,11.81,7.75,21.90,20.88,10.47,1.13,1.47,2.25,0.76,3.63,11.88,9.83
1918,11.48,7.65,22.59,20.75,10.84,1.13,1.47,2.25,0.76,3.81,12.04,9.84
1919,11.64,7.74,22.00,21.17,10.62,1.13,1.47,2.25,0.74,3.57,11.96,9.75
1920,11.80,8.13,22.36,20.69,10.56,1.13,1.47,2.26,0.74,3.56,12.07,10.05
1921,11.49,7.77,22.00,20.54,10.67,1.13,1.47,2.25,0.74,3.55,12.10,9.84
1922,11.38,7.63,21.98,20.61,10.49,1.13,1.46,2.25,0.74,3.56,11.84,9.62
1923,11.60,7.61,22.38,20.99,10.50,1.13,1.48,2.26,0.74,3.78,12.33,10.07
1924,11.98,7.84,21.97,20.39,10.52,1.13,1.47,2.24,0.74,3.82,12.41,9.69
1925,11.31,7.46,21.80,20.94,10.62,1.16,1.47,2.26,0.74,3.54,12.68,9.43
1926,11.49,7.72,22.43,20.49,10.54,1.13,1.46,2.25,0.74,3.54,11.94,9.74
1927,11.12,7.86,21.65,20.65,10.38,1.13,1.47,2.24,0.74,3.54,11.82,9.78
1928,11.13,7.16,21.01,19.60,10.13,1.13,1.46,2.24,0.74,3.44,12.15,10.43
1929,10.84,7.88,21.09,20.98,10.14,1.13,1.47,2.24,0.74,3.42,11.94,13.42
