Variable:,tasmax
,Somalia,Awdal,Bakool,Bari,Bay,Banadir,Galgaduud,Gedo,Hiraan,"Juba Hoose","Shabelle Hoose","Juba Dhexe","Shabelle Dhexe",Mudug,Nugaal,Sanaag,Sool,Togdheer,"Woqooyi Galbeed"
1901,32.73,33.75,33.93,33.60,33.07,31.78,33.82,34.67,34.25,33.00,31.87,33.55,32.95,32.56,32.90,30.60,31.82,30.38,30.55
1902,32.79,33.93,34.00,33.60,33.12,31.79,33.85,34.76,34.30,33.16,31.90,33.63,32.97,32.57,32.91,30.63,31.85,30.46,30.68
1903,32.83,34.28,34.10,33.60,33.18,31.81,33.87,34.85,34.34,33.11,31.92,33.63,32.98,32.58,32.91,30.65,31.88,30.57,30.91
1904,32.64,33.91,33.84,33.60,32.86,31.71,33.83,34.33,34.25,32.54,31.68,33.15,32.93,32.56,32.90,30.60,31.83,30.41,30.64
1905,32.70,34.05,33.92,33.60,32.90,31.73,33.86,34.39,34.30,32.72,31.71,33.25,32.95,32.57,32.91,30.64,31.87,30.51,30.76
1906,32.67,34.10,33.88,33.60,32.87,31.71,33.86,34.36,34.29,32.44,31.66,33.11,32.94,32.57,32.91,30.64,31.86,30.50,30.78
1907,32.63,33.91,33.78,33.60,32.85,31.69,33.81,34.33,34.21,32.56,31.67,33.16,32.92,32.55,32.90,30.58,31.80,30.32,30.58
1908,32.80,34.04,34.03,33.60,33.13,31.79,33.87,34.77,34.33,33.14,31.91,33.63,32.97,32.58,32.91,30.65,31.87,30.53,30.77
1909,32.46,33.54,33.55,33.60,32.61,31.63,33.75,33.95,34.11,32.11,31.48,32.76,32.88,32.53,32.89,30.52,31.73,30.13,30.29
1910,32.68,34.59,33.96,33.60,32.82,31.69,33.92,34.29,34.36,32.09,31.57,32.88,32.95,32.59,32.92,30.69,31.93,30.69,31.12
1911,32.27,34.53,33.41,33.51,32.23,30.87,33.12,33.95,33.61,32.06,30.89,32.54,32.09,31.90,32.50,30.56,31.61,30.36,30.84
1912,31.87,33.78,32.59,33.48,31.66,30.42,32.60,33.30,32.96,31.96,30.51,32.25,31.63,31.57,32.31,30.36,31.28,29.79,30.21
1913,32.19,33.82,33.18,33.55,32.11,31.05,33.26,33.54,33.65,31.82,30.97,32.37,32.32,32.11,32.63,30.49,31.57,30.11,30.41
1914,32.57,33.83,33.78,33.61,32.67,31.66,33.86,34.00,34.27,32.19,31.55,32.84,32.95,32.59,32.92,30.60,31.84,30.40,30.59
1915,32.49,33.73,33.59,33.59,32.57,31.46,33.64,34.06,34.04,32.45,31.42,32.94,32.72,32.42,32.82,30.57,31.74,30.29,30.48
1916,32.41,33.71,33.50,33.59,32.40,31.39,33.62,33.80,34.01,32.10,31.27,32.65,32.69,32.40,32.81,30.56,31.73,30.29,30.47
1917,32.45,33.73,33.58,33.61,32.39,31.48,33.79,33.73,34.17,31.97,31.29,32.55,32.84,32.54,32.89,30.59,31.81,30.36,30.53
1918,32.47,33.73,33.63,33.61,32.46,31.55,33.79,33.78,34.19,31.97,31.36,32.59,32.86,32.54,32.89,30.60,31.81,30.37,30.53
1919,32.46,33.73,33.68,33.60,32.47,31.58,33.82,33.71,34.22,31.77,31.37,32.50,32.89,32.56,32.90,30.60,31.82,30.38,30.54
1920,32.45,33.73,33.67,33.60,32.46,31.58,33.82,33.68,34.21,31.74,31.36,32.48,32.89,32.56,32.90,30.60,31.82,30.38,30.54
1921,32.95,33.76,34.26,33.65,33.33,32.13,34.21,34.84,34.65,33.25,32.16,33.76,33.34,32.87,33.09,30.68,31.99,30.56,30.66
1922,33.28,33.80,34.76,33.71,33.76,32.67,34.77,35.19,35.23,33.55,32.62,34.11,33.92,33.33,33.37,30.79,32.24,30.83,30.85
1923,32.68,33.73,33.87,33.60,32.94,31.72,33.82,34.46,34.25,32.86,31.77,33.36,32.94,32.56,32.90,30.60,31.82,30.38,30.54
1924,33.72,33.83,35.38,33.76,34.55,33.25,35.21,36.07,35.73,34.51,33.36,35.07,34.42,33.69,33.59,30.88,32.44,31.05,30.99
1925,33.18,33.79,34.59,33.68,33.71,32.45,34.48,35.25,34.95,33.70,32.53,34.21,33.64,33.09,33.23,30.73,32.11,30.71,30.76
1926,32.97,33.76,34.26,33.64,33.40,32.12,34.15,34.98,34.60,33.45,32.22,33.92,33.29,32.83,33.07,30.67,31.97,30.54,30.65
1927,32.93,33.75,34.18,33.63,33.33,32.04,34.08,34.93,34.53,33.43,32.14,33.88,33.22,32.77,33.03,30.65,31.93,30.50,30.62
1928,33.39,33.79,34.89,33.71,34.01,32.77,34.79,35.53,35.27,33.97,32.83,34.49,33.97,33.35,33.38,30.80,32.25,30.85,30.86
1929,32.52,33.72,33.68,33.61,32.50,31.58,33.86,33.84,34.24,32.09,31.40,32.67,32.92,32.59,32.93,30.61,31.84,30.40,30.55
1930,32.16,33.68,33.08,33.54,32.06,30.96,33.15,33.59,33.53,32.01,30.91,32.46,32.20,32.02,32.58,30.47,31.52,30.06,30.31
1931,32.97,33.78,34.30,33.66,33.25,32.19,34.38,34.67,34.80,33.02,32.12,33.57,33.48,33.01,33.18,30.71,32.07,30.64,30.72
1932,32.60,33.73,33.85,33.62,32.70,31.75,33.97,33.98,34.38,32.14,31.59,32.81,33.06,32.68,32.98,30.63,31.88,30.45,30.59
1933,32.81,33.73,34.06,33.64,33.02,31.95,34.14,34.46,34.56,32.82,31.88,33.34,33.24,32.82,33.06,30.66,31.96,30.53,30.65
1934,32.73,33.73,33.93,33.62,32.92,31.81,33.97,34.41,34.39,32.80,31.78,33.30,33.07,32.69,32.98,30.63,31.88,30.45,30.58
1935,32.67,33.73,33.84,33.62,32.84,31.72,33.89,34.32,34.31,32.71,31.69,33.21,32.99,32.62,32.94,30.62,31.86,30.41,30.56
1936,32.62,33.73,33.78,33.61,32.75,31.66,33.85,34.22,34.25,32.60,31.61,33.10,32.94,32.59,32.92,30.60,31.83,30.39,30.54
1937,33.05,33.73,34.43,33.68,33.34,32.35,34.54,34.73,34.97,33.04,32.23,33.61,33.65,33.14,33.26,30.74,32.14,30.72,30.75
1938,32.67,33.71,33.84,33.61,32.85,31.72,33.87,34.35,34.29,32.73,31.70,33.24,32.97,32.60,32.93,30.61,31.84,30.40,30.56
1939,33.01,33.74,34.36,33.67,33.35,32.24,34.39,34.81,34.83,33.19,32.21,33.71,33.51,33.02,33.19,30.72,32.08,30.65,30.71
1940,33.16,33.73,34.51,33.69,33.57,32.41,34.59,35.05,34.97,33.49,32.42,33.99,33.66,33.22,33.30,30.76,32.18,30.77,30.77
1941,33.00,33.71,34.34,33.67,33.33,32.24,34.37,34.79,34.81,33.15,32.19,33.68,33.49,33.01,33.18,30.71,32.07,30.65,30.70
1942,32.95,33.63,34.26,33.57,33.32,32.14,34.26,34.81,34.70,33.23,32.17,33.74,33.39,32.92,33.11,30.66,32.01,30.58,30.64
1943,32.93,33.32,34.27,33.57,33.29,32.15,34.30,34.76,34.73,33.15,32.15,33.67,33.41,32.93,33.12,30.65,32.01,30.60,30.59
1944,33.12,33.51,34.50,33.64,33.57,32.38,34.51,35.07,34.93,33.51,32.41,34.01,33.62,33.14,33.24,30.70,32.12,30.72,30.70
1945,32.99,33.46,34.35,33.56,33.44,32.24,34.28,34.95,34.75,33.39,32.28,33.89,33.44,32.92,33.11,30.65,32.01,30.59,30.61
1946,32.99,33.78,34.34,33.59,33.41,32.17,34.20,34.97,34.69,33.35,32.23,33.86,33.37,32.83,33.05,30.67,31.98,30.64,30.84
1947,32.73,32.87,34.18,33.47,33.19,31.91,33.98,34.78,34.48,33.07,31.96,33.60,33.10,32.62,32.92,30.44,31.84,30.26,30.15
1948,32.80,32.71,34.08,33.61,33.20,32.00,34.14,34.71,34.51,33.19,32.05,33.67,33.23,32.87,33.09,30.50,31.89,30.21,30.02
1949,32.57,31.41,33.91,33.47,33.05,31.90,33.95,34.58,34.34,33.17,31.93,33.58,33.11,32.70,32.98,30.23,31.71,29.69,29.08
1950,32.37,31.53,33.68,33.37,32.75,31.57,33.68,34.31,34.08,32.80,31.58,33.22,32.78,32.45,32.82,30.19,31.62,29.65,29.08
1951,32.81,32.58,34.24,33.58,33.32,31.98,34.12,34.95,34.56,33.36,32.08,33.82,33.19,32.77,32.99,30.39,31.87,30.15,29.88
1952,32.90,32.79,34.42,33.42,33.63,32.32,34.15,35.25,34.68,33.75,32.43,34.19,33.41,32.76,32.95,30.23,31.82,30.14,29.89
1953,33.02,33.99,34.54,33.52,33.62,32.08,34.06,35.41,34.64,33.60,32.25,34.11,33.20,32.65,32.92,30.65,31.98,30.67,30.87
1954,32.97,34.01,34.44,33.53,33.43,31.93,34.01,35.20,34.56,33.40,32.08,33.89,33.07,32.62,32.92,30.71,32.05,30.80,30.93
1955,33.16,34.63,34.56,33.53,33.54,32.06,34.23,35.33,34.72,33.40,32.16,33.95,33.25,32.81,33.06,31.02,32.33,31.29,31.53
1956,32.75,33.27,34.09,33.51,33.20,31.73,33.90,34.98,34.32,33.10,31.83,33.66,32.95,32.62,32.93,30.54,31.86,30.31,30.26
1957,32.81,33.81,34.06,33.37,33.21,31.91,33.87,34.88,34.30,33.34,32.03,33.80,33.03,32.55,32.83,30.53,31.86,30.69,30.82
1958,33.04,34.08,34.26,33.61,33.35,32.07,34.14,34.98,34.57,33.48,32.16,33.91,33.21,32.79,33.04,30.89,32.17,30.98,31.12
1959,32.99,34.20,34.11,33.51,33.18,32.03,34.15,34.68,34.52,33.37,32.09,33.74,33.21,32.82,33.05,30.89,32.19,31.10,31.26
1960,32.61,33.67,33.70,33.48,32.84,31.58,33.65,34.45,34.04,33.10,31.70,33.47,32.71,32.42,32.79,30.48,31.71,30.37,30.54
1961,32.76,33.34,33.96,33.60,33.15,31.79,33.82,34.78,34.25,33.34,31.95,33.75,32.94,32.56,32.91,30.58,31.84,30.37,30.42
1962,32.87,33.92,34.14,33.46,33.13,31.87,34.03,34.72,34.43,33.21,31.96,33.67,33.04,32.69,32.93,30.64,32.07,30.95,30.97
1963,32.58,33.81,33.75,33.51,32.72,31.38,33.57,34.37,34.01,32.77,31.48,33.22,32.58,32.33,32.78,30.64,31.86,30.59,30.69
1964,32.31,33.16,33.45,33.40,32.55,31.08,33.21,34.30,33.65,32.68,31.26,33.12,32.24,32.06,32.61,30.32,31.53,30.07,30.12
1965,32.61,33.92,33.84,33.47,32.94,31.38,33.49,34.80,33.95,32.92,31.54,33.46,32.53,32.24,32.69,30.56,31.74,30.55,30.77
1966,32.78,33.69,34.05,33.60,33.18,31.73,33.78,34.91,34.25,33.22,31.88,33.71,32.88,32.49,32.86,30.62,31.85,30.46,30.58
1967,32.36,33.02,33.44,33.48,32.70,31.43,33.39,34.29,33.82,32.92,31.55,33.32,32.57,32.23,32.66,30.17,31.34,29.73,29.88
1968,32.16,33.09,33.15,33.41,32.22,31.07,33.26,33.71,33.61,32.37,31.11,32.76,32.29,32.14,32.63,30.15,31.34,29.76,29.93
1969,33.06,33.99,34.27,33.73,33.34,32.23,34.30,34.81,34.69,33.45,32.26,33.87,33.40,32.94,33.13,30.88,32.19,30.86,30.89
1970,33.02,33.83,34.19,33.72,33.32,32.31,34.31,34.69,34.70,33.48,32.31,33.86,33.48,32.97,33.14,30.81,32.08,30.64,30.73
1971,32.62,33.53,33.80,33.41,32.88,31.65,33.78,34.46,34.15,32.92,31.71,33.39,32.86,32.53,32.85,30.48,31.77,30.37,30.46
1972,32.85,33.93,34.07,33.59,33.23,31.95,33.87,34.82,34.36,33.35,32.06,33.78,33.07,32.58,32.93,30.69,31.88,30.51,30.73
1973,33.22,34.83,34.49,33.70,33.49,32.10,34.22,35.20,34.68,33.54,32.23,33.98,33.26,32.85,33.15,31.22,32.44,31.37,31.62
1974,32.84,34.27,33.98,33.51,33.00,31.82,33.90,34.56,34.28,33.20,31.88,33.54,32.96,32.60,32.92,30.79,32.07,30.96,31.12
1975,32.76,34.28,33.83,33.58,32.90,31.65,33.77,34.47,34.17,33.08,31.75,33.44,32.84,32.52,32.91,30.79,31.96,30.73,30.96
1976,32.90,34.35,34.02,33.66,33.18,31.93,33.93,34.73,34.39,33.33,32.01,33.70,33.09,32.64,32.96,30.84,31.94,30.69,31.02
1977,32.85,34.33,33.94,33.66,33.04,31.82,33.89,34.57,34.34,33.18,31.91,33.58,32.99,32.60,32.95,30.86,32.00,30.79,31.07
1978,32.83,33.97,33.93,33.62,33.02,31.88,34.05,34.48,34.40,33.14,31.93,33.55,33.11,32.77,33.03,30.73,31.98,30.60,30.77
1979,32.80,33.88,34.05,33.57,33.22,31.81,33.88,34.90,34.34,33.18,31.93,33.72,33.00,32.61,32.93,30.57,31.80,30.34,30.57
1980,33.13,34.31,34.55,33.73,33.69,32.08,34.15,35.52,34.69,33.47,32.23,34.10,33.28,32.80,33.09,30.92,32.12,30.77,31.03
1981,32.66,33.42,33.82,33.67,33.17,31.87,33.74,34.76,34.21,33.28,31.98,33.73,33.01,32.53,32.88,30.28,31.48,29.76,30.05
1982,32.62,33.01,33.78,33.70,33.10,31.69,33.69,34.77,34.14,33.18,31.83,33.66,32.87,32.50,32.87,30.40,31.54,29.75,29.87
1983,32.85,33.29,34.12,33.66,33.45,32.08,33.89,35.10,34.42,33.72,32.26,34.12,33.16,32.59,32.90,30.48,31.66,30.03,30.16
1984,32.63,33.73,33.92,33.38,33.13,31.69,33.70,34.87,34.15,33.13,31.84,33.66,32.87,32.41,32.71,30.26,31.55,30.17,30.40
1985,32.64,33.73,33.69,33.63,32.86,31.73,33.79,34.34,34.18,33.03,31.78,33.42,32.94,32.57,32.90,30.49,31.69,30.13,30.39
1986,32.75,33.19,33.96,33.63,33.22,31.95,33.93,34.81,34.36,33.36,32.05,33.80,33.12,32.67,32.95,30.41,31.69,30.00,30.04
1987,33.01,33.32,34.29,33.83,33.54,32.20,34.17,35.18,34.63,33.72,32.34,34.12,33.35,32.85,33.09,30.69,31.95,30.29,30.27
1988,32.91,33.43,34.07,33.83,33.37,31.98,33.92,35.00,34.38,33.67,32.17,34.04,33.09,32.69,33.07,30.73,31.89,30.25,30.34
1989,32.48,32.97,33.56,33.59,32.76,31.59,33.64,34.24,34.04,32.91,31.65,33.31,32.81,32.46,32.82,30.34,31.52,29.82,29.87
1990,32.80,33.58,33.87,33.87,33.08,31.82,33.87,34.65,34.27,33.26,31.91,33.66,32.97,32.67,33.07,30.73,31.87,30.23,30.38
1991,32.93,33.83,34.16,33.71,33.29,31.92,33.98,34.95,34.43,33.47,32.07,33.89,33.06,32.66,33.00,30.75,32.01,30.65,30.77
