Variable:,tasmin
,Somalia,Awdal,Bakool,Bari,Bay,Banadir,Galgaduud,Gedo,Hiraan,"Juba Hoose","Shabelle Hoose","Juba Dhexe","Shabelle Dhexe",Mudug,Nugaal,Sanaag,Sool,Togdheer,"Woqooyi Galbeed"
1901,20.84,24.90,20.88,20.78,21.62,22.55,21.50,22.29,21.74,22.74,22.42,22.37,22.39,21.60,20.28,18.08,18.72,17.93,18.81
1902,20.89,24.97,20.96,20.78,21.67,22.57,21.53,22.37,21.79,22.91,22.46,22.46,22.41,21.61,20.29,18.11,18.76,18.00,18.89
1903,20.92,24.98,21.05,20.78,21.72,22.58,21.56,22.45,21.83,22.86,22.47,22.46,22.42,21.62,20.29,18.14,18.79,18.10,18.96
1904,20.74,24.83,20.79,20.78,21.40,22.49,21.51,21.94,21.73,22.29,22.23,21.97,22.38,21.61,20.28,18.09,18.73,17.95,18.80
1905,20.80,25.08,20.87,20.78,21.44,22.50,21.54,22.01,21.79,22.47,22.27,22.08,22.39,21.62,20.29,18.13,18.77,18.06,18.97
1906,20.76,24.92,20.83,20.78,21.42,22.48,21.54,21.97,21.77,22.19,22.22,21.94,22.38,21.62,20.29,18.12,18.77,18.04,18.89
1907,20.71,24.54,20.73,20.78,21.40,22.47,21.49,21.94,21.70,22.31,22.23,21.99,22.36,21.60,20.28,18.07,18.70,17.85,18.60
1908,20.91,25.12,20.99,20.78,21.67,22.57,21.55,22.38,21.81,22.88,22.46,22.46,22.42,21.62,20.29,18.13,18.78,18.07,19.00
1909,20.56,24.35,20.50,20.78,21.16,22.40,21.43,21.56,21.59,21.85,22.03,21.59,22.32,21.58,20.27,18.01,18.64,17.67,18.40
1910,20.76,25.08,20.92,20.78,21.37,22.46,21.60,21.89,21.85,21.84,22.12,21.71,22.40,21.64,20.30,18.18,18.84,18.22,19.08
1911,20.35,25.11,20.36,20.69,20.78,21.64,20.80,21.56,21.09,21.81,21.44,21.37,21.53,20.94,19.88,18.04,18.52,17.89,18.85
1912,19.97,24.68,19.55,20.66,20.20,21.19,20.28,20.91,20.44,21.70,21.06,21.07,21.08,20.61,19.69,17.84,18.18,17.33,18.36
1913,20.29,24.76,20.14,20.72,20.65,21.83,20.95,21.15,21.13,21.57,21.52,21.20,21.76,21.15,20.01,17.97,18.48,17.65,18.59
1914,20.67,24.83,20.73,20.78,21.21,22.44,21.54,21.62,21.76,21.93,22.10,21.67,22.39,21.64,20.30,18.09,18.74,17.94,18.79
1915,20.61,24.93,20.55,20.77,21.11,22.24,21.32,21.68,21.53,22.19,21.98,21.77,22.17,21.46,20.19,18.06,18.64,17.84,18.77
1916,20.52,24.92,20.45,20.76,20.94,22.16,21.31,21.42,21.50,21.84,21.83,21.47,22.13,21.45,20.19,18.05,18.64,17.83,18.77
1917,20.57,24.94,20.54,20.78,20.93,22.26,21.47,21.34,21.65,21.71,21.85,21.38,22.29,21.58,20.28,18.08,18.71,17.92,18.82
1918,20.59,24.94,20.59,20.78,21.01,22.32,21.48,21.40,21.67,21.71,21.91,21.42,22.31,21.58,20.27,18.08,18.72,17.92,18.82
1919,20.57,24.93,20.63,20.78,21.02,22.35,21.50,21.33,21.70,21.52,21.93,21.33,22.34,21.60,20.28,18.08,18.72,17.93,18.83
1920,20.57,24.93,20.63,20.78,21.00,22.35,21.50,21.30,21.70,21.49,21.92,21.30,22.34,21.60,20.28,18.08,18.72,17.93,18.83
1921,21.06,24.97,21.21,20.82,21.87,22.90,21.89,22.45,22.13,23.00,22.71,22.59,22.78,21.92,20.47,18.16,18.90,18.11,18.95
1922,21.39,25.01,21.71,20.89,22.30,23.44,22.46,22.81,22.72,23.30,23.17,22.93,23.37,22.38,20.75,18.28,19.14,18.39,19.14
1923,20.79,24.93,20.83,20.78,21.49,22.50,21.50,22.08,21.74,22.60,22.33,22.19,22.39,21.60,20.28,18.08,18.72,17.93,18.83
1924,21.83,25.04,22.34,20.93,23.10,24.03,22.90,23.69,23.21,24.26,23.92,23.89,23.87,22.73,20.97,18.37,19.34,18.60,19.28
1925,21.30,25.00,21.54,20.86,22.26,23.23,22.16,22.87,22.43,23.44,23.09,23.03,23.09,22.14,20.62,18.22,19.02,18.26,19.05
1926,21.08,24.97,21.22,20.82,21.94,22.90,21.84,22.59,22.09,23.20,22.77,22.74,22.74,21.87,20.45,18.15,18.88,18.09,18.94
1927,21.04,24.96,21.14,20.81,21.88,22.82,21.77,22.55,22.01,23.18,22.70,22.71,22.66,21.82,20.41,18.14,18.84,18.05,18.91
1928,21.50,25.00,21.85,20.89,22.56,23.54,22.48,23.15,22.76,23.72,23.39,23.32,23.42,22.40,20.76,18.28,19.16,18.40,19.15
1929,20.63,24.93,20.63,20.79,21.05,22.35,21.54,21.46,21.73,21.84,21.96,21.50,22.36,21.64,20.31,18.10,18.75,17.95,18.84
1930,20.27,24.88,20.03,20.71,20.61,21.74,20.84,21.21,21.01,21.75,21.47,21.29,21.65,21.07,19.96,17.96,18.43,17.61,18.61
1931,21.08,24.98,21.25,20.84,21.80,22.97,22.06,22.29,22.29,22.77,22.67,22.39,22.93,22.05,20.56,18.20,18.97,18.19,19.01
1932,20.72,24.94,20.81,20.80,21.24,22.52,21.65,21.60,21.86,21.89,22.15,21.64,22.50,21.72,20.36,18.11,18.79,18.00,18.88
1933,20.92,24.94,21.02,20.81,21.56,22.73,21.83,22.08,22.04,22.57,22.44,22.17,22.68,21.86,20.44,18.15,18.87,18.08,18.94
1934,20.84,24.94,20.89,20.80,21.47,22.59,21.66,22.03,21.87,22.55,22.33,22.12,22.51,21.73,20.36,18.11,18.79,18.00,18.87
1935,20.78,24.93,20.80,20.79,21.38,22.50,21.58,21.94,21.79,22.46,22.24,22.04,22.43,21.66,20.32,18.10,18.76,17.96,18.86
1936,20.74,24.94,20.74,20.79,21.30,22.44,21.53,21.84,21.74,22.35,22.17,21.92,22.38,21.63,20.30,18.09,18.73,17.94,18.83
1937,21.16,25.03,21.39,20.86,21.89,23.11,22.23,22.35,22.45,22.79,22.78,22.43,23.09,22.18,20.64,18.23,19.04,18.27,19.08
1938,20.78,24.96,20.80,20.79,21.40,22.49,21.55,21.96,21.77,22.48,22.26,22.07,22.41,21.65,20.31,18.09,18.75,17.95,18.86
1939,21.13,25.02,21.32,20.84,21.90,23.02,22.07,22.43,22.31,22.93,22.77,22.54,22.96,22.06,20.57,18.20,18.98,18.20,19.03
1940,21.28,25.08,21.47,20.87,22.11,23.18,22.27,22.67,22.46,23.23,22.97,22.82,23.10,22.27,20.69,18.25,19.08,18.32,19.13
1941,21.11,24.92,21.30,20.84,21.88,23.01,22.06,22.41,22.29,22.90,22.74,22.51,22.94,22.05,20.56,18.20,18.97,18.20,18.99
1942,21.06,24.83,21.22,20.74,21.87,22.92,21.95,22.43,22.19,22.97,22.73,22.57,22.83,21.97,20.49,18.15,18.91,18.13,18.93
1943,21.05,24.63,21.23,20.74,21.83,22.93,21.98,22.38,22.22,22.90,22.70,22.50,22.86,21.98,20.50,18.14,18.92,18.15,18.88
1944,21.24,24.83,21.45,20.81,22.12,23.15,22.19,22.69,22.42,23.26,22.97,22.84,23.06,22.19,20.62,18.19,19.03,18.27,18.99
1945,21.10,24.73,21.31,20.74,21.98,23.01,21.97,22.57,22.23,23.14,22.83,22.71,22.89,21.96,20.49,18.13,18.91,18.14,18.90
1946,21.10,25.03,21.30,20.77,21.96,22.95,21.88,22.59,22.17,23.10,22.78,22.68,22.81,21.88,20.43,18.16,18.89,18.19,19.13
1947,21.05,26.38,21.13,20.64,21.73,22.69,21.66,22.40,21.97,22.82,22.51,22.42,22.55,21.67,20.30,18.31,18.89,18.54,19.94
1948,21.05,25.41,21.04,20.79,21.74,22.77,21.83,22.33,21.99,22.94,22.60,22.50,22.68,21.92,20.47,18.24,18.89,18.27,19.36
1949,21.02,26.27,20.87,20.64,21.60,22.67,21.64,22.20,21.83,22.91,22.49,22.40,22.55,21.75,20.36,18.36,18.84,18.49,19.93
1950,20.80,26.13,20.64,20.55,21.29,22.34,21.36,21.93,21.56,22.55,22.14,22.05,22.22,21.49,20.20,18.30,18.74,18.39,19.82
1951,21.21,26.64,21.20,20.76,21.87,22.75,21.81,22.58,22.05,23.10,22.63,22.65,22.64,21.82,20.37,18.49,18.99,18.84,20.29
1952,21.19,26.28,21.29,20.59,22.15,23.08,21.77,22.81,22.12,23.49,22.98,23.01,22.86,21.76,20.29,18.16,18.76,18.43,19.84
1953,21.16,26.03,21.24,20.70,21.93,22.84,21.71,22.59,22.06,23.25,22.73,22.73,22.64,21.67,20.29,18.44,18.95,18.69,19.94
1954,21.06,25.98,21.07,20.70,21.77,22.69,21.60,22.45,21.93,23.07,22.58,22.57,22.51,21.61,20.27,18.40,18.87,18.51,19.80
1955,21.03,25.37,21.11,20.70,21.80,22.84,21.76,22.39,22.07,23.03,22.64,22.55,22.69,21.78,20.37,18.27,18.86,18.15,19.22
1956,20.73,25.03,20.54,20.69,21.24,22.48,21.52,21.70,21.65,22.63,22.24,22.06,22.38,21.64,20.28,18.11,18.70,17.95,18.94
1957,20.65,24.18,20.69,20.55,21.63,22.68,21.40,22.22,21.66,23.04,22.55,22.54,22.47,21.51,20.14,17.58,18.29,17.20,18.05
1958,20.93,24.73,20.99,20.78,21.84,22.85,21.67,22.49,21.92,23.21,22.70,22.70,22.66,21.74,20.34,17.97,18.64,17.66,18.59
1959,20.92,24.47,21.07,20.68,21.94,22.82,21.69,22.66,21.95,23.22,22.71,22.77,22.65,21.78,20.36,17.85,18.60,17.49,18.33
1960,20.68,24.63,20.71,20.65,21.51,22.35,21.29,22.28,21.53,22.90,22.29,22.41,22.16,21.43,20.15,17.81,18.47,17.58,18.46
