Variable:,pr
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.16,2.60,9.37,44.51,76.90,18.97,8.48,6.02,10.62,49.10,69.98,6.02
1902,3.68,2.82,9.79,55.01,47.81,10.39,11.26,9.09,27.64,41.42,27.11,6.22
1903,3.04,2.63,13.05,44.49,55.21,19.16,10.74,5.59,25.83,43.36,31.78,6.54
1904,3.08,2.95,40.12,59.23,59.67,11.93,15.82,7.59,26.84,40.97,46.77,6.04
1905,2.94,2.78,16.43,85.89,71.95,25.83,14.71,7.96,8.80,38.79,36.71,7.51
1906,3.09,3.17,9.36,72.63,73.38,13.41,14.93,8.62,14.22,43.96,32.43,21.42
1907,3.26,2.60,9.57,57.29,64.37,14.39,12.36,9.00,12.64,41.82,29.92,6.04
1908,3.33,2.48,9.48,52.71,57.13,11.35,12.03,17.08,9.26,39.18,28.89,9.46
1909,2.98,2.51,10.63,44.58,78.98,13.20,11.96,12.96,9.54,39.02,27.65,10.94
1910,2.51,2.24,16.92,67.51,44.01,9.47,16.59,7.94,31.13,32.44,24.47,4.44
1911,2.41,3.20,7.71,105.87,42.59,8.44,7.20,11.83,7.68,27.33,57.54,6.87
1912,2.47,2.39,15.96,38.11,58.17,15.88,7.30,14.17,10.24,105.43,57.10,4.14
1913,2.49,2.31,7.36,31.61,47.16,13.44,8.61,23.24,20.67,44.43,26.06,4.25
1914,2.14,1.85,7.78,30.36,47.82,15.00,10.67,5.36,18.64,26.70,25.60,5.63
1915,2.88,4.73,12.09,43.31,36.00,21.65,19.94,11.49,11.50,25.79,18.07,8.56
1916,2.78,2.22,7.13,61.32,56.81,8.35,15.42,13.43,18.60,31.39,17.82,4.35
1917,2.81,2.33,8.69,50.18,44.77,15.11,12.47,6.56,9.72,38.90,25.95,7.74
1918,2.13,2.14,23.70,49.64,46.64,16.81,14.58,7.98,12.27,47.79,21.01,6.00
1919,2.45,3.40,42.86,63.87,46.57,9.78,10.45,18.76,9.48,35.58,37.54,16.24
1920,3.06,1.76,6.02,39.37,54.05,15.11,11.67,10.19,10.40,46.97,17.26,4.18
1921,2.25,2.35,16.04,55.57,63.35,12.28,26.45,8.78,14.45,61.30,10.17,12.03
1922,2.66,6.08,14.68,76.70,60.48,22.28,18.59,8.90,25.98,102.66,47.48,15.00
1923,3.17,3.51,10.79,53.44,39.72,27.07,13.56,8.73,11.53,28.62,25.83,23.14
