Variable:,tas
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.07,25.86,27.20,27.98,28.03,27.81,27.04,27.08,27.63,26.69,25.66,25.07
1902,24.98,25.76,27.06,27.73,27.71,27.89,27.54,27.60,27.96,26.77,25.72,25.02
1903,25.37,26.07,27.32,28.16,28.06,27.85,27.36,27.19,27.67,26.68,25.50,24.94
1904,24.75,25.78,27.05,27.87,28.02,27.95,27.12,27.12,27.51,26.45,25.50,24.88
1905,25.06,25.64,27.03,27.86,27.89,27.74,27.15,27.04,27.63,26.83,25.76,25.08
1906,24.78,26.10,27.04,27.81,28.15,27.94,27.04,27.13,27.67,26.66,25.37,24.56
1907,24.70,25.79,27.19,28.00,28.06,27.81,27.04,26.90,27.56,26.69,25.53,24.47
1908,25.00,25.73,27.42,28.30,28.54,28.03,27.21,27.21,27.94,26.71,25.36,24.53
1909,24.49,25.36,26.85,27.50,27.84,27.43,27.09,27.04,27.55,26.56,25.29,24.81
1910,24.77,25.62,27.11,28.03,27.97,27.96,27.21,27.11,27.38,26.43,25.50,25.27
1911,25.04,25.14,26.95,27.59,27.56,27.84,26.10,26.64,26.97,26.13,25.28,24.20
1912,24.30,25.43,26.55,27.21,27.15,27.01,25.61,25.89,26.36,26.01,25.48,23.73
1913,24.05,24.88,26.23,27.19,27.63,26.87,26.69,26.77,27.53,26.53,25.46,24.80
1914,24.77,25.66,27.00,27.73,27.82,27.65,26.82,26.94,27.46,26.56,25.49,25.24
1915,24.87,25.83,27.04,28.23,27.69,27.36,26.64,26.68,27.40,26.50,25.62,24.43
1916,24.49,26.03,26.41,27.33,27.96,27.44,26.48,26.73,27.29,26.72,25.70,24.71
1917,24.85,26.03,26.69,27.34,27.83,27.38,26.61,26.74,27.27,26.42,25.65,25.01
1918,24.52,26.14,26.92,27.42,27.92,27.49,26.77,26.81,27.38,26.54,25.37,24.77
1919,24.87,25.75,27.00,27.72,27.77,27.48,26.69,26.86,27.46,26.32,25.32,24.67
1920,24.74,25.53,26.87,27.51,27.69,27.33,26.69,26.81,27.67,26.72,25.76,24.50
1921,24.92,25.75,27.27,28.03,28.04,27.70,27.14,27.09,28.07,27.09,26.62,26.04
1922,25.93,26.83,27.93,28.31,28.50,28.54,26.73,26.96,28.02,27.19,26.75,26.04
1923,25.04,25.93,27.12,27.91,28.07,27.73,26.95,26.99,27.56,26.64,25.57,25.05
1924,25.58,27.01,27.93,28.74,28.92,28.54,28.58,28.16,28.78,27.83,26.93,25.97
1925,25.27,25.67,27.12,27.96,28.79,29.12,28.71,28.62,28.29,26.53,25.68,24.79
1926,25.06,26.06,26.68,27.07,28.69,28.60,28.19,28.32,28.38,26.74,25.93,24.27
1927,25.26,25.97,27.27,26.64,27.01,26.94,27.14,28.24,28.57,27.64,27.09,25.71
1928,24.99,26.07,28.12,29.16,29.05,27.71,27.52,27.45,28.52,27.78,27.22,25.45
1929,24.74,26.82,27.89,27.62,28.17,27.06,26.25,26.19,26.89,26.41,25.41,25.13
1930,25.18,25.67,26.80,27.61,26.98,26.67,26.01,26.13,26.95,26.01,25.38,24.91
1931,25.08,26.00,27.02,27.77,28.84,28.22,27.51,27.45,28.11,27.16,25.68,25.13
1932,24.82,26.77,26.91,27.72,27.75,27.58,26.82,26.90,27.54,26.51,25.53,24.77
1933,24.71,25.99,27.24,28.54,28.34,28.11,27.14,27.15,27.64,26.87,25.63,24.76
1934,24.44,24.98,26.61,28.26,28.42,28.06,27.22,27.01,27.63,26.82,26.24,25.40
1935,25.55,26.42,27.48,27.89,27.80,27.15,26.40,26.47,27.57,26.84,25.95,24.89
1936,24.79,25.85,27.07,28.05,28.42,27.28,26.28,26.52,27.20,27.09,26.14,25.17
1937,25.19,26.20,27.34,28.78,28.89,28.00,26.95,27.24,28.16,27.07,26.27,24.86
1938,24.76,25.69,27.37,28.02,27.86,27.81,26.93,27.14,27.61,26.74,25.70,24.75
1939,24.61,25.78,27.38,28.44,28.87,27.66,27.30,27.44,28.35,27.04,26.30,25.37
1940,25.37,26.54,27.51,28.33,28.79,28.22,27.42,27.34,28.06,27.29,26.38,25.11
1941,24.71,25.82,27.34,28.51,28.91,27.69,26.98,27.38,28.34,27.08,26.28,25.30
1942,24.82,25.89,27.44,28.56,28.58,28.36,26.93,27.15,27.93,26.97,25.95,25.15
1943,25.03,25.99,27.26,28.58,28.95,27.92,27.05,27.31,27.69,26.78,25.95,25.09
1944,24.74,25.82,27.49,28.58,28.63,28.24,27.28,27.36,28.23,27.32,26.44,25.73
1945,25.20,25.97,27.15,28.80,28.89,27.95,26.99,27.20,27.82,27.03,26.09,25.16
1946,24.71,25.76,27.24,28.53,28.74,28.02,27.23,27.16,28.14,27.18,26.21,25.30
1947,25.13,25.64,27.32,28.22,28.06,28.19,27.36,27.04,27.64,26.63,26.10,25.06
1948,25.43,26.03,27.16,28.37,28.92,27.68,27.09,27.09,27.74,26.86,25.45,24.95
1949,24.49,25.34,27.08,28.47,28.65,27.69,26.96,27.16,27.66,26.95,25.74,24.99
1950,24.77,25.34,27.25,28.20,28.20,27.31,26.69,26.84,27.47,26.50,25.27,24.86
1951,24.75,25.69,27.46,27.92,28.38,28.02,27.23,26.79,27.77,27.54,26.70,25.59
1952,24.87,25.79,28.40,28.38,28.85,28.09,26.69,26.90,27.89,26.92,26.15,25.29
1953,25.14,26.35,27.74,28.46,28.84,28.22,26.65,26.84,27.64,26.83,26.46,25.67
1954,25.27,26.41,27.57,28.57,28.89,28.07,26.55,26.53,27.81,26.66,26.31,25.17
1955,25.32,25.89,27.84,28.72,28.97,27.97,27.06,26.86,27.98,26.74,25.95,25.52
