Variable:,tasmin
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.73,19.36,20.69,22.00,22.33,22.30,21.91,21.63,21.73,20.88,19.56,18.95
1902,18.61,19.27,20.54,21.75,22.01,22.36,22.41,22.15,22.05,20.96,19.62,18.92
1903,19.00,19.54,20.79,22.18,22.35,22.33,22.23,21.73,21.76,20.88,19.40,18.82
1904,18.41,19.26,20.51,21.89,22.33,22.41,21.99,21.67,21.61,20.64,19.41,18.78
1905,18.72,19.15,20.52,21.89,22.16,22.23,22.02,21.59,21.72,21.03,19.65,18.96
1906,18.41,19.60,20.52,21.81,22.46,22.43,21.91,21.68,21.77,20.83,19.27,18.43
1907,18.32,19.27,20.65,21.99,22.32,22.27,21.91,21.44,21.66,20.87,19.44,18.36
1908,18.66,19.22,20.90,22.32,22.84,22.50,22.08,21.75,22.04,20.90,19.28,18.43
1909,18.15,18.87,20.33,21.53,22.12,21.92,21.95,21.59,21.65,20.73,19.17,18.69
1910,18.40,19.08,20.56,22.05,22.25,22.42,22.08,21.66,21.47,20.59,19.37,19.15
1911,18.66,18.60,20.41,21.61,21.86,22.33,20.96,21.19,21.06,20.28,19.16,18.07
1912,17.92,18.93,20.00,21.23,21.45,21.49,20.47,20.44,20.46,20.20,19.38,17.63
1913,17.70,18.36,19.72,21.21,21.90,21.34,21.56,21.32,21.62,20.72,19.36,18.70
1914,18.40,19.16,20.48,21.75,22.09,22.14,21.69,21.49,21.56,20.76,19.38,19.13
1915,18.52,19.33,20.53,22.25,22.00,21.85,21.51,21.23,21.50,20.69,19.52,18.33
1916,18.15,19.54,19.90,21.36,22.27,21.93,21.35,21.29,21.38,20.91,19.61,18.60
1917,18.51,19.54,20.18,21.37,22.13,21.87,21.48,21.29,21.36,20.61,19.55,18.91
1918,18.18,19.64,20.40,21.44,22.22,21.98,21.64,21.36,21.48,20.73,19.27,18.66
