Variable:,tasmax
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.46,32.41,33.76,34.01,33.78,33.36,32.21,32.58,33.58,32.55,31.81,31.24
1902,31.39,32.31,33.63,33.75,33.46,33.47,32.72,33.10,33.91,32.63,31.87,31.18
1903,31.78,32.66,33.91,34.19,33.83,33.43,32.53,32.71,33.62,32.55,31.65,31.11
1904,31.14,32.36,33.65,33.90,33.77,33.53,32.30,32.62,33.46,32.31,31.65,31.04
1905,31.45,32.19,33.59,33.90,33.67,33.29,32.33,32.54,33.58,32.70,31.91,31.25
1906,31.20,32.65,33.61,33.87,33.90,33.49,32.21,32.63,33.62,32.55,31.53,30.74
1907,31.12,32.36,33.78,34.06,33.84,33.38,32.21,32.40,33.51,32.58,31.67,30.63
1908,31.39,32.30,33.98,34.33,34.29,33.61,32.38,32.71,33.89,32.57,31.50,30.68
1909,30.88,31.90,33.42,33.54,33.60,33.00,32.29,32.53,33.50,32.46,31.47,30.98
1910,31.20,32.21,33.70,34.06,33.75,33.53,32.39,32.61,33.33,32.32,31.68,31.44
1911,31.46,31.73,33.54,33.62,33.30,33.39,31.27,32.14,32.92,32.02,31.45,30.38
1912,30.72,31.99,33.15,33.24,32.90,32.58,30.79,31.39,32.31,31.87,31.63,29.88
1913,30.44,31.45,32.79,33.22,33.41,32.45,31.87,32.27,33.47,32.39,31.61,30.95
1914,31.19,32.21,33.56,33.76,33.60,33.20,32.00,32.44,33.41,32.41,31.66,31.39
1915,31.26,32.38,33.61,34.26,33.44,32.91,31.81,32.18,33.35,32.36,31.77,30.58
1916,30.88,32.58,32.98,33.37,33.71,32.99,31.65,32.23,33.24,32.58,31.85,30.86
1917,31.24,32.58,33.26,33.38,33.58,32.93,31.79,32.23,33.22,32.28,31.80,31.16
1918,30.91,32.69,33.48,33.45,33.66,33.04,31.95,32.31,33.33,32.40,31.52,30.92
1919,31.26,32.30,33.56,33.75,33.51,33.03,31.87,32.36,33.41,32.18,31.46,30.82
1920,31.13,32.08,33.43,33.54,33.44,32.88,31.87,32.31,33.62,32.58,31.91,30.65
1921,31.31,32.30,33.83,34.07,33.79,33.25,32.31,32.58,34.02,32.95,32.76,32.19
1922,32.32,33.38,34.49,34.34,34.24,34.09,31.90,32.46,33.96,33.06,32.90,32.19
1923,31.43,32.48,33.69,33.94,33.81,33.28,32.12,32.49,33.51,32.50,31.72,31.20
1924,31.98,33.56,34.49,34.77,34.67,34.09,33.76,33.66,34.73,33.69,33.08,32.12
1925,31.66,32.22,33.69,33.99,34.54,34.67,33.88,34.12,34.24,32.39,31.83,30.94
1926,31.45,32.60,33.24,33.10,34.44,34.15,33.37,33.81,34.33,32.61,32.08,30.42
1927,31.65,32.52,33.83,32.68,32.75,32.49,32.31,33.73,34.52,33.50,33.24,31.86
1928,31.38,32.62,34.68,35.20,34.80,33.26,32.69,32.95,34.46,33.64,33.37,31.60
1929,31.13,33.37,34.45,33.65,33.92,32.61,31.42,31.69,32.84,32.27,31.56,31.28
1930,31.57,32.22,33.36,33.64,32.73,32.22,31.19,31.63,32.90,31.87,31.53,31.06
1931,31.47,32.55,33.58,33.80,34.58,33.77,32.68,32.95,34.06,33.02,31.83,31.29
1932,31.21,33.32,33.48,33.75,33.50,33.13,32.00,32.39,33.49,32.37,31.68,30.92
1933,31.10,32.54,33.80,34.57,34.08,33.66,32.32,32.65,33.59,32.73,31.78,30.91
