,Date,Year,Month,Country_id,Precipitation,SPI
0,1901-01-31,1901,January,MOZ,220.61,0.1100806535131064
1,1901-02-28,1901,February,MOZ,238.23,-0.716554158609624
2,1901-03-31,1901,March,MOZ,145.63,0.35999752286319797
3,1901-04-30,1901,April,MOZ,93.68,-1.2516065772527578
4,1901-05-31,1901,May,MOZ,25.62,-0.26604107770442514
5,1901-06-30,1901,June,MOZ,33.98,-2.4495960128938163
6,1901-07-31,1901,July,MOZ,9.85,0.5564218118020786
7,1901-08-31,1901,August,MOZ,10.11,0.09462238763300393
8,1901-09-30,1901,September,MOZ,27.34,-2.673342375323852
9,1901-10-31,1901,October,MOZ,33.6,-1.9875456521506516
10,1901-11-30,1901,November,MOZ,69.71,0.11632072260125537
11,1901-12-31,1901,December,MOZ,180.57,-0.3479282070745174
12,1902-01-31,1902,January,MOZ,270.42,-0.9842817374642588
13,1902-02-28,1902,February,MOZ,170.46,0.7438652157036795
14,1902-03-31,1902,March,MOZ,199.2,-0.9073443064774974
15,1902-04-30,1902,April,MOZ,47.75,0.8745021518148711
16,1902-05-31,1902,May,MOZ,20.08,0.2823030972744659
17,1902-06-30,1902,June,MOZ,9.8,0.9585122473369443
18,1902-07-31,1902,July,MOZ,9.19,0.6696947626560745
19,1902-08-31,1902,August,MOZ,8.79,0.3144810980307859
20,1902-09-30,1902,September,MOZ,12.93,-0.43808745332627697
21,1902-10-31,1902,October,MOZ,19.92,-0.26550336609213737
22,1902-11-30,1902,November,MOZ,84.81,-0.5573498500650071
23,1902-12-31,1902,December,MOZ,97.41,2.0422916137352862
24,1903-01-31,1903,January,MOZ,245.37,-0.43391478516586474
25,1903-02-28,1903,February,MOZ,127.1,1.6782577798209124
26,1903-03-31,1903,March,MOZ,109.29,1.2197175541911962
27,1903-04-30,1903,April,MOZ,53.79,0.5949093644521785
28,1903-05-31,1903,May,MOZ,24.27,-0.13241930221317905
29,1903-06-30,1903,June,MOZ,8.78,1.1022786007461824
30,1903-07-31,1903,July,MOZ,9.57,0.6044770030734707
31,1903-08-31,1903,August,MOZ,14.43,-0.6249152100324642
32,1903-09-30,1903,September,MOZ,10.51,-0.06270113054805823
33,1903-10-31,1903,October,MOZ,17.46,0.044162132716630664
34,1903-11-30,1903,November,MOZ,88.93,-0.7411593043289145
35,1903-12-31,1903,December,MOZ,165.45,0.08665721489090165
36,1904-01-31,1904,January,MOZ,261.13,-0.7801735942765506
37,1904-02-29,1904,February,MOZ,204.8,0.003850440524118355
38,1904-03-31,1904,March,MOZ,191.98,-0.7365358687728153
39,1904-04-30,1904,April,MOZ,67.7,-0.048987270020513105
40,1904-05-31,1904,May,MOZ,37.27,-1.4191475106473994
41,1904-06-30,1904,June,MOZ,23.0,-0.9019935026649601
42,1904-07-31,1904,July,MOZ,12.66,0.07415364225703526
43,1904-08-31,1904,August,MOZ,10.29,0.0646416543969428
44,1904-09-30,1904,September,MOZ,9.47,0.09862191725745713
45,1904-10-31,1904,October,MOZ,27.31,-1.1957586653591268
46,1904-11-30,1904,November,MOZ,64.68,0.34072886700597654
47,1904-12-31,1904,December,MOZ,226.54,-1.6692173504442465
48,1905-01-31,1905,January,MOZ,166.89,1.2903486246695828
49,1905-02-28,1905,February,MOZ,226.62,-0.46636279169539296
50,1905-03-31,1905,March,MOZ,157.88,0.07019096304569714
51,1905-04-30,1905,April,MOZ,47.38,0.8916295245506651
52,1905-05-31,1905,May,MOZ,14.02,0.8821164005907253
53,1905-06-30,1905,June,MOZ,8.28,1.1727523033977698
54,1905-07-31,1905,July,MOZ,14.33,-0.21246124854019685
55,1905-08-31,1905,August,MOZ,7.93,0.4577223790475225
56,1905-09-30,1905,September,MOZ,7.24,0.44453576014812984
57,1905-10-31,1905,October,MOZ,13.29,0.5690829172827131
58,1905-11-30,1905,November,MOZ,95.57,-1.0373959005212305
59,1905-12-31,1905,December,MOZ,160.58,0.22663281045780506
60,1906-01-31,1906,January,MOZ,224.04,0.034721026910971516
61,1906-02-28,1906,February,MOZ,244.43,-0.8501619514492655
62,1906-03-31,1906,March,MOZ,138.09,0.5383764176406636
63,1906-04-30,1906,April,MOZ,43.52,1.0703096833619223
64,1906-05-31,1906,May,MOZ,20.91,0.20015045012058857
65,1906-06-30,1906,June,MOZ,9.9,0.9444175068066268
66,1906-07-31,1906,July,MOZ,14.3,-0.2073124780468335
67,1906-08-31,1906,August,MOZ,7.72,0.4926999011562605
68,1906-09-30,1906,September,MOZ,11.62,-0.2348824604174064
69,1906-10-31,1906,October,MOZ,31.24,-1.690468181748744
70,1906-11-30,1906,November,MOZ,82.82,-0.4685680990977311
71,1906-12-31,1906,December,MOZ,138.88,0.8503433697600271
72,1907-01-31,1907,January,MOZ,208.23,0.3820783728525926
73,1907-02-28,1907,February,MOZ,299.73,-2.0418572650028395
74,1907-03-31,1907,March,MOZ,157.77,0.07279330766446618
75,1907-04-30,1907,April,MOZ,107.11,-1.8732839173654998
76,1907-05-31,1907,May,MOZ,15.5,0.7356273430151371
77,1907-06-30,1907,June,MOZ,15.66,0.1325604522603413
78,1907-07-31,1907,July,MOZ,28.39,-2.6255183530965343
79,1907-08-31,1907,August,MOZ,4.51,1.0273563105326846
80,1907-09-30,1907,September,MOZ,8.6,0.2335748514793789
81,1907-10-31,1907,October,MOZ,20.74,-0.3687251990283929
82,1907-11-30,1907,November,MOZ,111.84,-1.763264789082826
83,1907-12-31,1907,December,MOZ,197.72,-0.8408607458778862
84,1908-01-31,1908,January,MOZ,168.8,1.2483845177278683
85,1908-02-29,1908,February,MOZ,232.09,-0.5842393444103667
86,1908-03-31,1908,March,MOZ,137.9,0.5428713765276288
87,1908-04-30,1908,April,MOZ,83.11,-0.7623191993680453
88,1908-05-31,1908,May,MOZ,20.82,0.20905856848667162
89,1908-06-30,1908,June,MOZ,8.59,1.1290586077537856
90,1908-07-31,1908,July,MOZ,16.0,-0.49907613933742895
91,1908-08-31,1908,August,MOZ,5.83,0.8074976001349027
92,1908-09-30,1908,September,MOZ,6.42,0.5717327786101709
93,1908-10-31,1908,October,MOZ,13.33,0.5640477059199688
94,1908-11-30,1908,November,MOZ,93.62,-0.9503987073623429
95,1908-12-31,1908,December,MOZ,184.2,-0.45226319925272296
96,1909-01-31,1909,January,MOZ,273.57,-1.0534895578131582
97,1909-02-28,1909,February,MOZ,202.42,0.055138593259335976
98,1909-03-31,1909,March,MOZ,140.4,0.48372718064650627
99,1909-04-30,1909,April,MOZ,59.99,0.3079101456361692
100,1909-05-31,1909,May,MOZ,28.79,-0.5798048023764617
101,1909-06-30,1909,June,MOZ,21.71,-0.720171349823865
102,1909-07-31,1909,July,MOZ,13.56,-0.08030947254386835
103,1909-08-31,1909,August,MOZ,9.62,0.17623660588672604
104,1909-09-30,1909,September,MOZ,12.98,-0.4458433690861576
105,1909-10-31,1909,October,MOZ,14.87,0.3701920684543174
106,1909-11-30,1909,November,MOZ,45.94,1.176794200235497
107,1909-12-31,1909,December,MOZ,114.68,1.5459099842813984
108,1910-01-31,1910,January,MOZ,161.42,1.4105285539738628
109,1910-02-28,1910,February,MOZ,220.39,-0.33210850953555954
110,1910-03-31,1910,March,MOZ,204.85,-1.0410101891688346
111,1910-04-30,1910,April,MOZ,76.12,-0.43875072525128683
112,1910-05-31,1910,May,MOZ,17.15,0.5723118396369478
113,1910-06-30,1910,June,MOZ,24.09,-1.0556261744454203
