,Date,Year,Month,Country_id,Precipitation,SPI
0,1901-01-31,1901,January,NAM,28.66,0.979669898917092
1,1901-02-28,1901,February,NAM,59.51,0.2655378699129525
2,1901-03-31,1901,March,NAM,55.67,0.013215139274453093
3,1901-04-30,1901,April,NAM,24.97,-0.35320657138786316
4,1901-05-31,1901,May,NAM,2.01,0.47953546956559895
5,1901-06-30,1901,June,NAM,0.12,0.8288629899980352
6,1901-07-31,1901,July,NAM,0.41,0.4006156845191079
7,1901-08-31,1901,August,NAM,0.32,0.5600370060685828
8,1901-09-30,1901,September,NAM,2.45,-0.1941553762378372
9,1901-10-31,1901,October,NAM,9.38,-0.08530904063858556
10,1901-11-30,1901,November,NAM,21.23,0.1912564619260151
11,1901-12-31,1901,December,NAM,68.28,-1.6903624703817093
12,1902-01-31,1902,January,NAM,67.68,-0.21379620959820425
13,1902-02-28,1902,February,NAM,53.81,0.4510257606092236
14,1902-03-31,1902,March,NAM,46.32,0.34851336349854467
15,1902-04-30,1902,April,NAM,12.29,0.6603679962793861
16,1902-05-31,1902,May,NAM,0.61,0.7944054588846129
17,1902-06-30,1902,June,NAM,1.74,-0.34228761404878233
18,1902-07-31,1902,July,NAM,1.41,-1.0489805423592422
19,1902-08-31,1902,August,NAM,0.42,0.41143069524775266
20,1902-09-30,1902,September,NAM,6.1,-1.8431692592270852
21,1902-10-31,1902,October,NAM,2.34,1.1246418947189278
22,1902-11-30,1902,November,NAM,21.03,0.20686344324045253
23,1902-12-31,1902,December,NAM,54.81,-0.9345628304125887
24,1903-01-31,1903,January,NAM,20.32,1.234757221957009
25,1903-02-28,1903,February,NAM,81.29,-0.4432211229580633
26,1903-03-31,1903,March,NAM,27.37,1.0280750051077996
27,1903-04-30,1903,April,NAM,4.66,1.270271304741619
28,1903-05-31,1903,May,NAM,1.15,0.6729556058615647
29,1903-06-30,1903,June,NAM,0.67,0.43125013059942435
30,1903-07-31,1903,July,NAM,0.36,0.4730954958630254
31,1903-08-31,1903,August,NAM,0.41,0.4262913263298357
32,1903-09-30,1903,September,NAM,2.85,-0.37486922642843973
33,1903-10-31,1903,October,NAM,1.69,1.2363561146027893
