,Date,Year,Month,Country_id,Precipitation,SPI
0,1901-01-31,1901,January,NGA,3.74,0.2404315485879652
1,1901-02-28,1901,February,NGA,7.01,0.45612838561535873
2,1901-03-31,1901,March,NGA,39.26,-0.381325298630256
3,1901-04-30,1901,April,NGA,75.56,-0.25889782626306035
4,1901-05-31,1901,May,NGA,124.51,0.1652039308028428
5,1901-06-30,1901,June,NGA,170.18,-0.3174195223539476
6,1901-07-31,1901,July,NGA,264.56,-1.8765935525801327
7,1901-08-31,1901,August,NGA,261.92,-1.1014135324452559
8,1901-09-30,1901,September,NGA,250.4,-1.400653960559293
9,1901-10-31,1901,October,NGA,118.47,-0.4786867277473455
10,1901-11-30,1901,November,NGA,26.3,-0.9059864361711916
11,1901-12-31,1901,December,NGA,2.98,0.49491702814280053
12,1902-01-31,1902,January,NGA,2.17,0.7150733576418559
13,1902-02-28,1902,February,NGA,13.74,-0.6634057281291558
14,1902-03-31,1902,March,NGA,32.64,0.1308897345037591
15,1902-04-30,1902,April,NGA,77.22,-0.34209205632241046
16,1902-05-31,1902,May,NGA,124.07,0.18331238497496935
17,1902-06-30,1902,June,NGA,166.47,-0.1466447074833123
18,1902-07-31,1902,July,NGA,207.95,0.1362324288170873
19,1902-08-31,1902,August,NGA,220.53,0.32537749077645634
20,1902-09-30,1902,September,NGA,192.73,0.9323662101970949
21,1902-10-31,1902,October,NGA,97.36,0.28778517042054325
22,1902-11-30,1902,November,NGA,11.21,0.8349251243687059
23,1902-12-31,1902,December,NGA,4.66,0.021228372928955883
24,1903-01-31,1903,January,NGA,5.51,-0.29467418518616606
25,1903-02-28,1903,February,NGA,13.08,-0.5536148640769448
26,1903-03-31,1903,March,NGA,21.96,0.9572426882607504
27,1903-04-30,1903,April,NGA,79.33,-0.447838939108693
28,1903-05-31,1903,May,NGA,109.83,0.7693678109092309
29,1903-06-30,1903,June,NGA,150.85,0.572358690974725
30,1903-07-31,1903,July,NGA,230.75,-0.6744447020053227
31,1903-08-31,1903,August,NGA,235.93,-0.20548942774527276
32,1903-09-30,1903,September,NGA,232.13,-0.6615473449928074
33,1903-10-31,1903,October,NGA,117.75,-0.45254462605710966
34,1903-11-30,1903,November,NGA,19.01,-0.0649496385346209
35,1903-12-31,1903,December,NGA,6.02,-0.3622338717679658
36,1904-01-31,1904,January,NGA,9.23,-1.4193031849826458
37,1904-02-29,1904,February,NGA,5.45,0.7156340642842208
38,1904-03-31,1904,March,NGA,49.62,-1.1829186133233673
39,1904-04-30,1904,April,NGA,62.45,0.3981361231815674
40,1904-05-31,1904,May,NGA,142.54,-0.5768311344776862
41,1904-06-30,1904,June,NGA,169.91,-0.3049911665547365
42,1904-07-31,1904,July,NGA,232.72,-0.7444900505895397
43,1904-08-31,1904,August,NGA,193.99,1.2402611282807863
44,1904-09-30,1904,September,NGA,191.57,0.9792936143600461
45,1904-10-31,1904,October,NGA,82.95,0.8109902889709589
46,1904-11-30,1904,November,NGA,10.37,0.9318347142198335
47,1904-12-31,1904,December,NGA,4.45,0.08043945483068644
48,1905-01-31,1905,January,NGA,1.26,0.9901842151189517
49,1905-02-28,1905,February,NGA,8.55,0.19994970282686642
50,1905-03-31,1905,March,NGA,32.42,0.14791198636017644
51,1905-04-30,1905,April,NGA,63.38,0.35152730754590733
52,1905-05-31,1905,May,NGA,122.24,0.25862709209994816
53,1905-06-30,1905,June,NGA,201.34,-1.751743843477663
54,1905-07-31,1905,July,NGA,214.56,-0.09879282709239245
55,1905-08-31,1905,August,NGA,229.39,0.019956653237332287
56,1905-09-30,1905,September,NGA,228.79,-0.5264287847305161
57,1905-10-31,1905,October,NGA,115.0,-0.3526963209902364
58,1905-11-30,1905,November,NGA,31.37,-1.490905032058354
59,1905-12-31,1905,December,NGA,14.67,-2.8011665310535347
60,1906-01-31,1906,January,NGA,2.53,0.6062382931454224
61,1906-02-28,1906,February,NGA,11.1,-0.224242271920312
62,1906-03-31,1906,March,NGA,25.81,0.6593532807734457
63,1906-04-30,1906,April,NGA,58.24,0.6091287186935341
64,1906-05-31,1906,May,NGA,174.94,-1.9102718507887877
65,1906-06-30,1906,June,NGA,160.16,0.14381057063898064
66,1906-07-31,1906,July,NGA,239.74,-0.9940932724480187
67,1906-08-31,1906,August,NGA,217.12,0.44292659416341046
68,1906-09-30,1906,September,NGA,212.35,0.13864580530303683
69,1906-10-31,1906,October,NGA,131.27,-0.9434352022404286
70,1906-11-30,1906,November,NGA,13.82,0.5338131844741313
71,1906-12-31,1906,December,NGA,8.9,-1.174271566420271
72,1907-01-31,1907,January,NGA,6.27,-0.5244370991230812
73,1907-02-28,1907,February,NGA,13.13,-0.56193235377787
74,1907-03-31,1907,March,NGA,19.91,1.1158591260137312
75,1907-04-30,1907,April,NGA,72.63,-0.11205499850770077
76,1907-05-31,1907,May,NGA,117.71,0.4450618589175188
77,1907-06-30,1907,June,NGA,165.56,-0.10475654534523218
78,1907-07-31,1907,July,NGA,193.86,0.6372166732595316
79,1907-08-31,1907,August,NGA,157.91,2.48400648024598
80,1907-09-30,1907,September,NGA,188.22,1.1148167212099487
81,1907-10-31,1907,October,NGA,91.95,0.4842140178430101
82,1907-11-30,1907,November,NGA,11.55,0.7956998141908685
83,1907-12-31,1907,December,NGA,1.83,0.8191681909379918
84,1908-01-31,1908,January,NGA,4.74,-0.06188807501323898
85,1908-02-29,1908,February,NGA,3.57,1.0283716770390035
