,Date,Year,Month,Country_id,Precipitation,SPI
0,1901-01-31,1901,January,SOM,2.98,-0.3471206391657707
1,1901-02-28,1901,February,SOM,4.03,-0.8613525872406982
2,1901-03-31,1901,March,SOM,10.9,0.19375206000227435
3,1901-04-30,1901,April,SOM,57.24,-0.16749195655721652
4,1901-05-31,1901,May,SOM,66.29,-0.5897778302882779
5,1901-06-30,1901,June,SOM,15.05,0.271066345621711
6,1901-07-31,1901,July,SOM,15.18,-0.3130103494190994
7,1901-08-31,1901,August,SOM,20.05,-2.0866880783161124
8,1901-09-30,1901,September,SOM,13.51,-0.2144212346654161
9,1901-10-31,1901,October,SOM,40.7,0.08650551006203859
10,1901-11-30,1901,November,SOM,27.14,0.2982948239442918
11,1901-12-31,1901,December,SOM,28.6,-2.460365089156387
12,1902-01-31,1902,January,SOM,2.82,-0.23121419600865914
13,1902-02-28,1902,February,SOM,2.21,0.2014986861506086
14,1902-03-31,1902,March,SOM,9.53,0.34917562151486603
15,1902-04-30,1902,April,SOM,45.04,0.4732887055216827
16,1902-05-31,1902,May,SOM,78.17,-1.2428060109027932
17,1902-06-30,1902,June,SOM,19.55,-0.3774490776878447
18,1902-07-31,1902,July,SOM,8.34,0.9919457537101762
19,1902-08-31,1902,August,SOM,6.46,1.0494947635391236
20,1902-09-30,1902,September,SOM,9.73,0.4690548564299114
21,1902-10-31,1902,October,SOM,45.94,-0.2016674190596712
22,1902-11-30,1902,November,SOM,65.44,-1.7002127913931133
23,1902-12-31,1902,December,SOM,6.75,0.4210046439463639
24,1903-01-31,1903,January,SOM,3.32,-0.5934218308746323
25,1903-02-28,1903,February,SOM,2.37,0.10806121156675738
26,1903-03-31,1903,March,SOM,9.92,0.3049309580185808
27,1903-04-30,1903,April,SOM,54.87,-0.04301243449762688
28,1903-05-31,1903,May,SOM,49.71,0.3216032500643036
29,1903-06-30,1903,June,SOM,10.47,0.9311109320123255
30,1903-07-31,1903,July,SOM,11.37,0.41387309399062877
31,1903-08-31,1903,August,SOM,9.61,0.3225649657581089
32,1903-09-30,1903,September,SOM,27.94,-2.8235640903547226
33,1903-10-31,1903,October,SOM,40.42,0.10190406352655752
34,1903-11-30,1903,November,SOM,27.09,0.3009038417188838
35,1903-12-31,1903,December,SOM,6.9,0.40122407369623053
36,1904-01-31,1904,January,SOM,2.71,-0.15152851633814512
37,1904-02-29,1904,February,SOM,2.24,0.18397915966613637
38,1904-03-31,1904,March,SOM,12.91,-0.03427812878627236
39,1904-04-30,1904,April,SOM,45.02,0.47433916562345113
40,1904-05-31,1904,May,SOM,56.93,-0.07527077889502301
41,1904-06-30,1904,June,SOM,19.7,-0.3990662584648297
42,1904-07-31,1904,July,SOM,10.76,0.5302507581585904
43,1904-08-31,1904,August,SOM,6.01,1.1533418775078401
44,1904-09-30,1904,September,SOM,25.49,-2.3805703276077503
45,1904-10-31,1904,October,SOM,41.44,0.045809333048667605
46,1904-11-30,1904,November,SOM,31.13,0.09009520553185725
47,1904-12-31,1904,December,SOM,7.16,0.3669377519293328
48,1905-01-31,1905,January,SOM,2.75,-0.180505127127423
49,1905-02-28,1905,February,SOM,2.45,0.061342474274831776
50,1905-03-31,1905,March,SOM,37.31,-2.8024057936820634
51,1905-04-30,1905,April,SOM,59.17,-0.2688613563778948
52,1905-05-31,1905,May,SOM,61.3,-0.3154840069493522
53,1905-06-30,1905,June,SOM,12.09,0.6976453796208856
54,1905-07-31,1905,July,SOM,16.23,-0.5133325582328041
55,1905-08-31,1905,August,SOM,8.08,0.6756451532517446
56,1905-09-30,1905,September,SOM,27.27,-2.702418857276979
57,1905-10-31,1905,October,SOM,39.73,0.1398504988498364
58,1905-11-30,1905,November,SOM,44.67,-0.6164268078276329
59,1905-12-31,1905,December,SOM,6.77,0.4183672345796795
60,1906-01-31,1906,January,SOM,2.62,-0.08633114206227006
61,1906-02-28,1906,February,SOM,2.35,0.11974089588973878
62,1906-03-31,1906,March,SOM,15.9,-0.37348721559112547
63,1906-04-30,1906,April,SOM,83.87,-1.5661795820622233
64,1906-05-31,1906,May,SOM,73.31,-0.9756581188332187
65,1906-06-30,1906,June,SOM,26.74,-1.4136326095980012
66,1906-07-31,1906,July,SOM,15.01,-0.2805772298968806
67,1906-08-31,1906,August,SOM,8.43,0.5948751757205207
68,1906-09-30,1906,September,SOM,8.16,0.7529324921493994
69,1906-10-31,1906,October,SOM,37.9,0.24049104470722743
70,1906-11-30,1906,November,SOM,35.58,-0.14210737640682294
71,1906-12-31,1906,December,SOM,7.74,0.29045288029548405
72,1907-01-31,1907,January,SOM,2.78,-0.20223758521938126
73,1907-02-28,1907,February,SOM,2.58,-0.014575473824547209
74,1907-03-31,1907,March,SOM,9.52,0.3503101000660528
75,1907-04-30,1907,April,SOM,71.3,-0.9059654081006032
76,1907-05-31,1907,May,SOM,74.73,-1.0537136757753578
77,1907-06-30,1907,June,SOM,13.67,0.46994440876997484
78,1907-07-31,1907,July,SOM,15.16,-0.30919468829883845
79,1907-08-31,1907,August,SOM,9.14,0.4310275070143235
80,1907-09-30,1907,September,SOM,13.27,-0.17102592729428415
81,1907-10-31,1907,October,SOM,41.92,0.019411812823777914
82,1907-11-30,1907,November,SOM,31.92,0.04887272469330489
83,1907-12-31,1907,December,SOM,17.37,-0.9794597297630742
84,1908-01-31,1908,January,SOM,2.92,-0.30365572298185384
85,1908-02-29,1908,February,SOM,2.21,0.2014986861506086
